prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,original_word_order
unc_wordsalad_00023,a bottle red,color_object,uncertain,word_salad,base_0023,a red bottle,word_shuffle,a red bottle
unc_wordsalad_00024,a bicycle red,color_object,uncertain,word_salad,base_0024,a red bicycle,word_shuffle,a red bicycle
unc_wordsalad_00025,car a red,color_object,uncertain,word_salad,base_0025,a red car,word_shuffle,a red car
unc_wordsalad_00026,red a rack,color_object,uncertain,word_salad,base_0026,a red rack,word_shuffle,a red rack
unc_wordsalad_00027,red a apple,color_object,uncertain,word_salad,base_0027,a red apple,word_shuffle,a red apple
unc_wordsalad_00028,red a banana,color_object,uncertain,word_salad,base_0028,a red banana,word_shuffle,a red banana
unc_wordsalad_00029,a book red,color_object,uncertain,word_salad,base_0029,a red book,word_shuffle,a red book
unc_wordsalad_00030,phone a red,color_object,uncertain,word_salad,base_0030,a red phone,word_shuffle,a red phone
unc_wordsalad_00031,a laptop red,color_object,uncertain,word_salad,base_0031,a red laptop,word_shuffle,a red laptop
unc_wordsalad_00032,a camera red,color_object,uncertain,word_salad,base_0032,a red camera,word_shuffle,a red camera
unc_wordsalad_00033,red a backpack,color_object,uncertain,word_salad,base_0033,a red backpack,word_shuffle,a red backpack
unc_wordsalad_00034,red a television,color_object,uncertain,word_salad,base_0034,a red television,word_shuffle,a red television
unc_wordsalad_00035,dog a blue,color_object,uncertain,word_salad,base_0035,a blue dog,word_shuffle,a blue dog
unc_wordsalad_00036,blue a cat,color_object,uncertain,word_salad,base_0036,a blue cat,word_shuffle,a blue cat
unc_wordsalad_00037,a chair blue,color_object,uncertain,word_salad,base_0037,a blue chair,word_shuffle,a blue chair
unc_wordsalad_00038,table a blue,color_object,uncertain,word_salad,base_0038,a blue table,word_shuffle,a blue table
unc_wordsalad_00039,a cup blue,color_object,uncertain,word_salad,base_0039,a blue cup,word_shuffle,a blue cup
unc_wordsalad_00040,a bottle blue,color_object,uncertain,word_salad,base_0040,a blue bottle,word_shuffle,a blue bottle
unc_wordsalad_00041,a bicycle blue,color_object,uncertain,word_salad,base_0041,a blue bicycle,word_shuffle,a blue bicycle
unc_wordsalad_00042,car a blue,color_object,uncertain,word_salad,base_0042,a blue car,word_shuffle,a blue car
unc_wordsalad_00043,blue a rack,color_object,uncertain,word_salad,base_0043,a blue rack,word_shuffle,a blue rack
unc_wordsalad_00044,blue a apple,color_object,uncertain,word_salad,base_0044,a blue apple,word_shuffle,a blue apple
unc_wordsalad_00045,blue a banana,color_object,uncertain,word_salad,base_0045,a blue banana,word_shuffle,a blue banana
unc_wordsalad_00046,book a blue,color_object,uncertain,word_salad,base_0046,a blue book,word_shuffle,a blue book
unc_wordsalad_00047,blue a phone,color_object,uncertain,word_salad,base_0047,a blue phone,word_shuffle,a blue phone
unc_wordsalad_00048,blue a laptop,color_object,uncertain,word_salad,base_0048,a blue laptop,word_shuffle,a blue laptop
unc_wordsalad_00049,blue a camera,color_object,uncertain,word_salad,base_0049,a blue camera,word_shuffle,a blue camera
unc_wordsalad_00050,a backpack blue,color_object,uncertain,word_salad,base_0050,a blue backpack,word_shuffle,a blue backpack
unc_wordsalad_00051,television a blue,color_object,uncertain,word_salad,base_0051,a blue television,word_shuffle,a blue television
unc_wordsalad_00052,dog a green,color_object,uncertain,word_salad,base_0052,a green dog,word_shuffle,a green dog
unc_wordsalad_00053,a cat green,color_object,uncertain,word_salad,base_0053,a green cat,word_shuffle,a green cat
unc_wordsalad_00054,chair a green,color_object,uncertain,word_salad,base_0054,a green chair,word_shuffle,a green chair
unc_wordsalad_00055,a table green,color_object,uncertain,word_salad,base_0055,a green table,word_shuffle,a green table
unc_wordsalad_00056,green a cup,color_object,uncertain,word_salad,base_0056,a green cup,word_shuffle,a green cup
unc_wordsalad_00057,green a bottle,color_object,uncertain,word_salad,base_0057,a green bottle,word_shuffle,a green bottle
unc_wordsalad_00058,green a bicycle,color_object,uncertain,word_salad,base_0058,a green bicycle,word_shuffle,a green bicycle
unc_wordsalad_00059,a car green,color_object,uncertain,word_salad,base_0059,a green car,word_shuffle,a green car
unc_wordsalad_00060,green a rack,color_object,uncertain,word_salad,base_0060,a green rack,word_shuffle,a green rack
unc_wordsalad_00061,apple a green,color_object,uncertain,word_salad,base_0061,a green apple,word_shuffle,a green apple
unc_wordsalad_00062,banana a green,color_object,uncertain,word_salad,base_0062,a green banana,word_shuffle,a green banana
unc_wordsalad_00063,green a book,color_object,uncertain,word_salad,base_0063,a green book,word_shuffle,a green book
unc_wordsalad_00064,green a phone,color_object,uncertain,word_salad,base_0064,a green phone,word_shuffle,a green phone
unc_wordsalad_00065,green a laptop,color_object,uncertain,word_salad,base_0065,a green laptop,word_shuffle,a green laptop
unc_wordsalad_00066,camera a green,color_object,uncertain,word_salad,base_0066,a green camera,word_shuffle,a green camera
unc_wordsalad_00067,backpack a green,color_object,uncertain,word_salad,base_0067,a green backpack,word_shuffle,a green backpack
unc_wordsalad_00068,television a green,color_object,uncertain,word_salad,base_0068,a green television,word_shuffle,a green television
unc_wordsalad_00069,dog a yellow,color_object,uncertain,word_salad,base_0069,a yellow dog,word_shuffle,a yellow dog
unc_wordsalad_00070,yellow a cat,color_object,uncertain,word_salad,base_0070,a yellow cat,word_shuffle,a yellow cat
unc_wordsalad_00071,yellow a chair,color_object,uncertain,word_salad,base_0071,a yellow chair,word_shuffle,a yellow chair
unc_wordsalad_00072,a table yellow,color_object,uncertain,word_salad,base_0072,a yellow table,word_shuffle,a yellow table
unc_wordsalad_00073,yellow a cup,color_object,uncertain,word_salad,base_0073,a yellow cup,word_shuffle,a yellow cup
unc_wordsalad_00074,bottle a yellow,color_object,uncertain,word_salad,base_0074,a yellow bottle,word_shuffle,a yellow bottle
unc_wordsalad_00075,bicycle a yellow,color_object,uncertain,word_salad,base_0075,a yellow bicycle,word_shuffle,a yellow bicycle
unc_wordsalad_00076,yellow a car,color_object,uncertain,word_salad,base_0076,a yellow car,word_shuffle,a yellow car
unc_wordsalad_00077,rack a yellow,color_object,uncertain,word_salad,base_0077,a yellow rack,word_shuffle,a yellow rack
unc_wordsalad_00078,apple a yellow,color_object,uncertain,word_salad,base_0078,a yellow apple,word_shuffle,a yellow apple
unc_wordsalad_00079,a banana yellow,color_object,uncertain,word_salad,base_0079,a yellow banana,word_shuffle,a yellow banana
unc_wordsalad_00080,a book yellow,color_object,uncertain,word_salad,base_0080,a yellow book,word_shuffle,a yellow book
unc_wordsalad_00081,phone a yellow,color_object,uncertain,word_salad,base_0081,a yellow phone,word_shuffle,a yellow phone
unc_wordsalad_00082,a laptop yellow,color_object,uncertain,word_salad,base_0082,a yellow laptop,word_shuffle,a yellow laptop
unc_wordsalad_00083,camera a yellow,color_object,uncertain,word_salad,base_0083,a yellow camera,word_shuffle,a yellow camera
unc_wordsalad_00084,a backpack yellow,color_object,uncertain,word_salad,base_0084,a yellow backpack,word_shuffle,a yellow backpack
unc_wordsalad_00085,television a yellow,color_object,uncertain,word_salad,base_0085,a yellow television,word_shuffle,a yellow television
unc_wordsalad_00086,dog a black,color_object,uncertain,word_salad,base_0086,a black dog,word_shuffle,a black dog
unc_wordsalad_00087,cat a black,color_object,uncertain,word_salad,base_0087,a black cat,word_shuffle,a black cat
unc_wordsalad_00088,a chair black,color_object,uncertain,word_salad,base_0088,a black chair,word_shuffle,a black chair
unc_wordsalad_00089,black a table,color_object,uncertain,word_salad,base_0089,a black table,word_shuffle,a black table
unc_wordsalad_00090,a cup black,color_object,uncertain,word_salad,base_0090,a black cup,word_shuffle,a black cup
unc_wordsalad_00091,black a bottle,color_object,uncertain,word_salad,base_0091,a black bottle,word_shuffle,a black bottle
unc_wordsalad_00092,black a bicycle,color_object,uncertain,word_salad,base_0092,a black bicycle,word_shuffle,a black bicycle
unc_wordsalad_00093,car a black,color_object,uncertain,word_salad,base_0093,a black car,word_shuffle,a black car
unc_wordsalad_00094,a rack black,color_object,uncertain,word_salad,base_0094,a black rack,word_shuffle,a black rack
unc_wordsalad_00095,a apple black,color_object,uncertain,word_salad,base_0095,a black apple,word_shuffle,a black apple
unc_wordsalad_00096,banana a black,color_object,uncertain,word_salad,base_0096,a black banana,word_shuffle,a black banana
unc_wordsalad_00097,black a book,color_object,uncertain,word_salad,base_0097,a black book,word_shuffle,a black book
unc_wordsalad_00098,black a phone,color_object,uncertain,word_salad,base_0098,a black phone,word_shuffle,a black phone
unc_wordsalad_00099,a laptop black,color_object,uncertain,word_salad,base_0099,a black laptop,word_shuffle,a black laptop
unc_wordsalad_00100,camera a black,color_object,uncertain,word_salad,base_0100,a black camera,word_shuffle,a black camera
unc_wordsalad_00101,a backpack black,color_object,uncertain,word_salad,base_0101,a black backpack,word_shuffle,a black backpack
unc_wordsalad_00102,black a television,color_object,uncertain,word_salad,base_0102,a black television,word_shuffle,a black television
unc_wordsalad_00103,a dog white,color_object,uncertain,word_salad,base_0103,a white dog,word_shuffle,a white dog
unc_wordsalad_00104,white a cat,color_object,uncertain,word_salad,base_0104,a white cat,word_shuffle,a white cat
unc_wordsalad_00105,a chair white,color_object,uncertain,word_salad,base_0105,a white chair,word_shuffle,a white chair
unc_wordsalad_00106,a table white,color_object,uncertain,word_salad,base_0106,a white table,word_shuffle,a white table
unc_wordsalad_00107,white a cup,color_object,uncertain,word_salad,base_0107,a white cup,word_shuffle,a white cup
unc_wordsalad_00108,a bottle white,color_object,uncertain,word_salad,base_0108,a white bottle,word_shuffle,a white bottle
unc_wordsalad_00109,a bicycle white,color_object,uncertain,word_salad,base_0109,a white bicycle,word_shuffle,a white bicycle
unc_wordsalad_00110,white a car,color_object,uncertain,word_salad,base_0110,a white car,word_shuffle,a white car
unc_wordsalad_00111,white a rack,color_object,uncertain,word_salad,base_0111,a white rack,word_shuffle,a white rack
unc_wordsalad_00112,white a apple,color_object,uncertain,word_salad,base_0112,a white apple,word_shuffle,a white apple
unc_wordsalad_00113,a banana white,color_object,uncertain,word_salad,base_0113,a white banana,word_shuffle,a white banana
unc_wordsalad_00114,book a white,color_object,uncertain,word_salad,base_0114,a white book,word_shuffle,a white book
unc_wordsalad_00115,phone a white,color_object,uncertain,word_salad,base_0115,a white phone,word_shuffle,a white phone
unc_wordsalad_00116,laptop a white,color_object,uncertain,word_salad,base_0116,a white laptop,word_shuffle,a white laptop
unc_wordsalad_00117,a camera white,color_object,uncertain,word_salad,base_0117,a white camera,word_shuffle,a white camera
unc_wordsalad_00118,a backpack white,color_object,uncertain,word_salad,base_0118,a white backpack,word_shuffle,a white backpack
unc_wordsalad_00119,white a television,color_object,uncertain,word_salad,base_0119,a white television,word_shuffle,a white television
unc_wordsalad_00120,dog a purple,color_object,uncertain,word_salad,base_0120,a purple dog,word_shuffle,a purple dog
unc_wordsalad_00121,a cat purple,color_object,uncertain,word_salad,base_0121,a purple cat,word_shuffle,a purple cat
unc_wordsalad_00122,chair a purple,color_object,uncertain,word_salad,base_0122,a purple chair,word_shuffle,a purple chair
unc_wordsalad_00123,a table purple,color_object,uncertain,word_salad,base_0123,a purple table,word_shuffle,a purple table
unc_wordsalad_00124,purple a cup,color_object,uncertain,word_salad,base_0124,a purple cup,word_shuffle,a purple cup
unc_wordsalad_00125,bottle a purple,color_object,uncertain,word_salad,base_0125,a purple bottle,word_shuffle,a purple bottle
unc_wordsalad_00126,purple a bicycle,color_object,uncertain,word_salad,base_0126,a purple bicycle,word_shuffle,a purple bicycle
unc_wordsalad_00127,car a purple,color_object,uncertain,word_salad,base_0127,a purple car,word_shuffle,a purple car
unc_wordsalad_00128,a rack purple,color_object,uncertain,word_salad,base_0128,a purple rack,word_shuffle,a purple rack
unc_wordsalad_00129,apple a purple,color_object,uncertain,word_salad,base_0129,a purple apple,word_shuffle,a purple apple
unc_wordsalad_00130,a banana purple,color_object,uncertain,word_salad,base_0130,a purple banana,word_shuffle,a purple banana
unc_wordsalad_00131,a book purple,color_object,uncertain,word_salad,base_0131,a purple book,word_shuffle,a purple book
unc_wordsalad_00132,a phone purple,color_object,uncertain,word_salad,base_0132,a purple phone,word_shuffle,a purple phone
unc_wordsalad_00133,laptop a purple,color_object,uncertain,word_salad,base_0133,a purple laptop,word_shuffle,a purple laptop
unc_wordsalad_00134,camera a purple,color_object,uncertain,word_salad,base_0134,a purple camera,word_shuffle,a purple camera
unc_wordsalad_00135,purple a backpack,color_object,uncertain,word_salad,base_0135,a purple backpack,word_shuffle,a purple backpack
unc_wordsalad_00136,television a purple,color_object,uncertain,word_salad,base_0136,a purple television,word_shuffle,a purple television
unc_wordsalad_00137,orange an dog,color_object,uncertain,word_salad,base_0137,an orange dog,word_shuffle,an orange dog
unc_wordsalad_00138,orange an cat,color_object,uncertain,word_salad,base_0138,an orange cat,word_shuffle,an orange cat
unc_wordsalad_00139,orange an chair,color_object,uncertain,word_salad,base_0139,an orange chair,word_shuffle,an orange chair
unc_wordsalad_00140,table an orange,color_object,uncertain,word_salad,base_0140,an orange table,word_shuffle,an orange table
unc_wordsalad_00141,orange an cup,color_object,uncertain,word_salad,base_0141,an orange cup,word_shuffle,an orange cup
unc_wordsalad_00142,an bottle orange,color_object,uncertain,word_salad,base_0142,an orange bottle,word_shuffle,an orange bottle
unc_wordsalad_00143,bicycle an orange,color_object,uncertain,word_salad,base_0143,an orange bicycle,word_shuffle,an orange bicycle
unc_wordsalad_00144,orange an car,color_object,uncertain,word_salad,base_0144,an orange car,word_shuffle,an orange car
unc_wordsalad_00145,an rack orange,color_object,uncertain,word_salad,base_0145,an orange rack,word_shuffle,an orange rack
unc_wordsalad_00146,apple an orange,color_object,uncertain,word_salad,base_0146,an orange apple,word_shuffle,an orange apple
unc_wordsalad_00147,orange an banana,color_object,uncertain,word_salad,base_0147,an orange banana,word_shuffle,an orange banana
unc_wordsalad_00148,orange an book,color_object,uncertain,word_salad,base_0148,an orange book,word_shuffle,an orange book
unc_wordsalad_00149,an phone orange,color_object,uncertain,word_salad,base_0149,an orange phone,word_shuffle,an orange phone
unc_wordsalad_00150,laptop an orange,color_object,uncertain,word_salad,base_0150,an orange laptop,word_shuffle,an orange laptop
unc_wordsalad_00151,an camera orange,color_object,uncertain,word_salad,base_0151,an orange camera,word_shuffle,an orange camera
unc_wordsalad_00152,orange an backpack,color_object,uncertain,word_salad,base_0152,an orange backpack,word_shuffle,an orange backpack
unc_wordsalad_00153,television an orange,color_object,uncertain,word_salad,base_0153,an orange television,word_shuffle,an orange television
unc_wordsalad_00154,a dog pink,color_object,uncertain,word_salad,base_0154,a pink dog,word_shuffle,a pink dog
unc_wordsalad_00155,cat a pink,color_object,uncertain,word_salad,base_0155,a pink cat,word_shuffle,a pink cat
unc_wordsalad_00156,chair a pink,color_object,uncertain,word_salad,base_0156,a pink chair,word_shuffle,a pink chair
unc_wordsalad_00157,a table pink,color_object,uncertain,word_salad,base_0157,a pink table,word_shuffle,a pink table
unc_wordsalad_00158,cup a pink,color_object,uncertain,word_salad,base_0158,a pink cup,word_shuffle,a pink cup
unc_wordsalad_00159,a bottle pink,color_object,uncertain,word_salad,base_0159,a pink bottle,word_shuffle,a pink bottle
unc_wordsalad_00160,a bicycle pink,color_object,uncertain,word_salad,base_0160,a pink bicycle,word_shuffle,a pink bicycle
unc_wordsalad_00161,a car pink,color_object,uncertain,word_salad,base_0161,a pink car,word_shuffle,a pink car
unc_wordsalad_00162,pink a rack,color_object,uncertain,word_salad,base_0162,a pink rack,word_shuffle,a pink rack
unc_wordsalad_00163,pink a apple,color_object,uncertain,word_salad,base_0163,a pink apple,word_shuffle,a pink apple
unc_wordsalad_00164,banana a pink,color_object,uncertain,word_salad,base_0164,a pink banana,word_shuffle,a pink banana
unc_wordsalad_00165,book a pink,color_object,uncertain,word_salad,base_0165,a pink book,word_shuffle,a pink book
unc_wordsalad_00166,pink a phone,color_object,uncertain,word_salad,base_0166,a pink phone,word_shuffle,a pink phone
unc_wordsalad_00167,a laptop pink,color_object,uncertain,word_salad,base_0167,a pink laptop,word_shuffle,a pink laptop
unc_wordsalad_00168,a camera pink,color_object,uncertain,word_salad,base_0168,a pink camera,word_shuffle,a pink camera
unc_wordsalad_00169,a backpack pink,color_object,uncertain,word_salad,base_0169,a pink backpack,word_shuffle,a pink backpack
unc_wordsalad_00170,a television pink,color_object,uncertain,word_salad,base_0170,a pink television,word_shuffle,a pink television
unc_wordsalad_00171,a dog brown,color_object,uncertain,word_salad,base_0171,a brown dog,word_shuffle,a brown dog
unc_wordsalad_00172,cat a brown,color_object,uncertain,word_salad,base_0172,a brown cat,word_shuffle,a brown cat
unc_wordsalad_00173,chair a brown,color_object,uncertain,word_salad,base_0173,a brown chair,word_shuffle,a brown chair
unc_wordsalad_00174,brown a table,color_object,uncertain,word_salad,base_0174,a brown table,word_shuffle,a brown table
unc_wordsalad_00175,a cup brown,color_object,uncertain,word_salad,base_0175,a brown cup,word_shuffle,a brown cup
unc_wordsalad_00176,bottle a brown,color_object,uncertain,word_salad,base_0176,a brown bottle,word_shuffle,a brown bottle
unc_wordsalad_00177,bicycle a brown,color_object,uncertain,word_salad,base_0177,a brown bicycle,word_shuffle,a brown bicycle
unc_wordsalad_00178,car a brown,color_object,uncertain,word_salad,base_0178,a brown car,word_shuffle,a brown car
unc_wordsalad_00179,brown a rack,color_object,uncertain,word_salad,base_0179,a brown rack,word_shuffle,a brown rack
unc_wordsalad_00180,apple a brown,color_object,uncertain,word_salad,base_0180,a brown apple,word_shuffle,a brown apple
unc_wordsalad_00181,brown a banana,color_object,uncertain,word_salad,base_0181,a brown banana,word_shuffle,a brown banana
unc_wordsalad_00182,a book brown,color_object,uncertain,word_salad,base_0182,a brown book,word_shuffle,a brown book
unc_wordsalad_00183,a phone brown,color_object,uncertain,word_salad,base_0183,a brown phone,word_shuffle,a brown phone
unc_wordsalad_00184,a laptop brown,color_object,uncertain,word_salad,base_0184,a brown laptop,word_shuffle,a brown laptop
unc_wordsalad_00185,a camera brown,color_object,uncertain,word_salad,base_0185,a brown camera,word_shuffle,a brown camera
unc_wordsalad_00186,brown a backpack,color_object,uncertain,word_salad,base_0186,a brown backpack,word_shuffle,a brown backpack
unc_wordsalad_00187,a television brown,color_object,uncertain,word_salad,base_0187,a brown television,word_shuffle,a brown television
unc_wordsalad_00188,a dog gray,color_object,uncertain,word_salad,base_0188,a gray dog,word_shuffle,a gray dog
unc_wordsalad_00189,cat a gray,color_object,uncertain,word_salad,base_0189,a gray cat,word_shuffle,a gray cat
unc_wordsalad_00190,gray a chair,color_object,uncertain,word_salad,base_0190,a gray chair,word_shuffle,a gray chair
unc_wordsalad_00191,table a gray,color_object,uncertain,word_salad,base_0191,a gray table,word_shuffle,a gray table
unc_wordsalad_00192,a cup gray,color_object,uncertain,word_salad,base_0192,a gray cup,word_shuffle,a gray cup
unc_wordsalad_00193,bottle a gray,color_object,uncertain,word_salad,base_0193,a gray bottle,word_shuffle,a gray bottle
unc_wordsalad_00194,bicycle a gray,color_object,uncertain,word_salad,base_0194,a gray bicycle,word_shuffle,a gray bicycle
unc_wordsalad_00195,car a gray,color_object,uncertain,word_salad,base_0195,a gray car,word_shuffle,a gray car
unc_wordsalad_00196,gray a rack,color_object,uncertain,word_salad,base_0196,a gray rack,word_shuffle,a gray rack
unc_wordsalad_00197,gray a apple,color_object,uncertain,word_salad,base_0197,a gray apple,word_shuffle,a gray apple
unc_wordsalad_00198,banana a gray,color_object,uncertain,word_salad,base_0198,a gray banana,word_shuffle,a gray banana
unc_wordsalad_00199,book a gray,color_object,uncertain,word_salad,base_0199,a gray book,word_shuffle,a gray book
unc_wordsalad_00200,a phone gray,color_object,uncertain,word_salad,base_0200,a gray phone,word_shuffle,a gray phone
unc_wordsalad_00201,a laptop gray,color_object,uncertain,word_salad,base_0201,a gray laptop,word_shuffle,a gray laptop
unc_wordsalad_00202,camera a gray,color_object,uncertain,word_salad,base_0202,a gray camera,word_shuffle,a gray camera
unc_wordsalad_00203,gray a backpack,color_object,uncertain,word_salad,base_0203,a gray backpack,word_shuffle,a gray backpack
unc_wordsalad_00204,a television gray,color_object,uncertain,word_salad,base_0204,a gray television,word_shuffle,a gray television
unc_wordsalad_00205,magenta a dog,color_object,uncertain,word_salad,base_0205,a magenta dog,word_shuffle,a magenta dog
unc_wordsalad_00206,cat a magenta,color_object,uncertain,word_salad,base_0206,a magenta cat,word_shuffle,a magenta cat
unc_wordsalad_00207,a chair magenta,color_object,uncertain,word_salad,base_0207,a magenta chair,word_shuffle,a magenta chair
unc_wordsalad_00208,a table magenta,color_object,uncertain,word_salad,base_0208,a magenta table,word_shuffle,a magenta table
unc_wordsalad_00209,magenta a cup,color_object,uncertain,word_salad,base_0209,a magenta cup,word_shuffle,a magenta cup
unc_wordsalad_00210,a bottle magenta,color_object,uncertain,word_salad,base_0210,a magenta bottle,word_shuffle,a magenta bottle
unc_wordsalad_00211,a bicycle magenta,color_object,uncertain,word_salad,base_0211,a magenta bicycle,word_shuffle,a magenta bicycle
unc_wordsalad_00212,magenta a car,color_object,uncertain,word_salad,base_0212,a magenta car,word_shuffle,a magenta car
unc_wordsalad_00213,rack a magenta,color_object,uncertain,word_salad,base_0213,a magenta rack,word_shuffle,a magenta rack
unc_wordsalad_00214,a apple magenta,color_object,uncertain,word_salad,base_0214,a magenta apple,word_shuffle,a magenta apple
unc_wordsalad_00215,banana a magenta,color_object,uncertain,word_salad,base_0215,a magenta banana,word_shuffle,a magenta banana
unc_wordsalad_00216,book a magenta,color_object,uncertain,word_salad,base_0216,a magenta book,word_shuffle,a magenta book
unc_wordsalad_00217,phone a magenta,color_object,uncertain,word_salad,base_0217,a magenta phone,word_shuffle,a magenta phone
unc_wordsalad_00218,laptop a magenta,color_object,uncertain,word_salad,base_0218,a magenta laptop,word_shuffle,a magenta laptop
unc_wordsalad_00219,a camera magenta,color_object,uncertain,word_salad,base_0219,a magenta camera,word_shuffle,a magenta camera
unc_wordsalad_00220,magenta a backpack,color_object,uncertain,word_salad,base_0220,a magenta backpack,word_shuffle,a magenta backpack
unc_wordsalad_00221,magenta a television,color_object,uncertain,word_salad,base_0221,a magenta television,word_shuffle,a magenta television
unc_wordsalad_00222,dog a lime,color_object,uncertain,word_salad,base_0222,a lime dog,word_shuffle,a lime dog
unc_wordsalad_00223,a cat lime,color_object,uncertain,word_salad,base_0223,a lime cat,word_shuffle,a lime cat
unc_wordsalad_00224,a chair lime,color_object,uncertain,word_salad,base_0224,a lime chair,word_shuffle,a lime chair
unc_wordsalad_00225,table a lime,color_object,uncertain,word_salad,base_0225,a lime table,word_shuffle,a lime table
unc_wordsalad_00226,cup a lime,color_object,uncertain,word_salad,base_0226,a lime cup,word_shuffle,a lime cup
unc_wordsalad_00227,bottle a lime,color_object,uncertain,word_salad,base_0227,a lime bottle,word_shuffle,a lime bottle
unc_wordsalad_00228,lime a bicycle,color_object,uncertain,word_salad,base_0228,a lime bicycle,word_shuffle,a lime bicycle
unc_wordsalad_00229,a car lime,color_object,uncertain,word_salad,base_0229,a lime car,word_shuffle,a lime car
unc_wordsalad_00230,a rack lime,color_object,uncertain,word_salad,base_0230,a lime rack,word_shuffle,a lime rack
unc_wordsalad_00231,a apple lime,color_object,uncertain,word_salad,base_0231,a lime apple,word_shuffle,a lime apple
unc_wordsalad_00232,banana a lime,color_object,uncertain,word_salad,base_0232,a lime banana,word_shuffle,a lime banana
unc_wordsalad_00233,book a lime,color_object,uncertain,word_salad,base_0233,a lime book,word_shuffle,a lime book
unc_wordsalad_00234,phone a lime,color_object,uncertain,word_salad,base_0234,a lime phone,word_shuffle,a lime phone
unc_wordsalad_00235,a laptop lime,color_object,uncertain,word_salad,base_0235,a lime laptop,word_shuffle,a lime laptop
unc_wordsalad_00236,lime a camera,color_object,uncertain,word_salad,base_0236,a lime camera,word_shuffle,a lime camera
unc_wordsalad_00237,a backpack lime,color_object,uncertain,word_salad,base_0237,a lime backpack,word_shuffle,a lime backpack
unc_wordsalad_00238,a television lime,color_object,uncertain,word_salad,base_0238,a lime television,word_shuffle,a lime television
unc_wordsalad_00239,cyan a dog,color_object,uncertain,word_salad,base_0239,a cyan dog,word_shuffle,a cyan dog
unc_wordsalad_00240,cyan a cat,color_object,uncertain,word_salad,base_0240,a cyan cat,word_shuffle,a cyan cat
unc_wordsalad_00241,chair a cyan,color_object,uncertain,word_salad,base_0241,a cyan chair,word_shuffle,a cyan chair
unc_wordsalad_00242,cyan a table,color_object,uncertain,word_salad,base_0242,a cyan table,word_shuffle,a cyan table
unc_wordsalad_00243,cup a cyan,color_object,uncertain,word_salad,base_0243,a cyan cup,word_shuffle,a cyan cup
unc_wordsalad_00244,bottle a cyan,color_object,uncertain,word_salad,base_0244,a cyan bottle,word_shuffle,a cyan bottle
unc_wordsalad_00245,a bicycle cyan,color_object,uncertain,word_salad,base_0245,a cyan bicycle,word_shuffle,a cyan bicycle
unc_wordsalad_00246,a car cyan,color_object,uncertain,word_salad,base_0246,a cyan car,word_shuffle,a cyan car
