prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,original_word,pseudoword
unc_nonword_00074,a yellow zuquna,color_object,uncertain,non_word,base_0074,a yellow bottle,pseudoword_replacement,bottle,zuquna
unc_nonword_00075,a lexica bicycle,color_object,uncertain,non_word,base_0075,a yellow bicycle,pseudoword_replacement,yellow,lexica
unc_nonword_00076,a yellow piru,color_object,uncertain,non_word,base_0076,a yellow car,pseudoword_replacement,car,piru
unc_nonword_00077,a qujico rack,color_object,uncertain,non_word,base_0077,a yellow rack,pseudoword_replacement,yellow,qujico
unc_nonword_00078,a vujira apple,color_object,uncertain,non_word,base_0078,a yellow apple,pseudoword_replacement,yellow,vujira
unc_nonword_00079,a yellow yifivi,color_object,uncertain,non_word,base_0079,a yellow banana,pseudoword_replacement,banana,yifivi
unc_nonword_00080,a yellow nomu,color_object,uncertain,non_word,base_0080,a yellow book,pseudoword_replacement,book,nomu
unc_nonword_00081,a joqeyu phone,color_object,uncertain,non_word,base_0081,a yellow phone,pseudoword_replacement,yellow,joqeyu
unc_nonword_00082,a yellow qubime,color_object,uncertain,non_word,base_0082,a yellow laptop,pseudoword_replacement,laptop,qubime
unc_nonword_00083,a yellow xuziso,color_object,uncertain,non_word,base_0083,a yellow camera,pseudoword_replacement,camera,xuziso
unc_nonword_00084,a yellow jutedivu,color_object,uncertain,non_word,base_0084,a yellow backpack,pseudoword_replacement,backpack,jutedivu
unc_nonword_00085,a yellow demejebako,color_object,uncertain,non_word,base_0085,a yellow television,pseudoword_replacement,television,demejebako
unc_nonword_00086,a sozuj dog,color_object,uncertain,non_word,base_0086,a black dog,pseudoword_replacement,black,sozuj
unc_nonword_00087,a black toke,color_object,uncertain,non_word,base_0087,a black cat,pseudoword_replacement,cat,toke
unc_nonword_00088,a fokev chair,color_object,uncertain,non_word,base_0088,a black chair,pseudoword_replacement,black,fokev
unc_nonword_00089,a black cukas,color_object,uncertain,non_word,base_0089,a black table,pseudoword_replacement,table,cukas
unc_nonword_00090,a suwun cup,color_object,uncertain,non_word,base_0090,a black cup,pseudoword_replacement,black,suwun
unc_nonword_00091,a black yuruse,color_object,uncertain,non_word,base_0091,a black bottle,pseudoword_replacement,bottle,yuruse
unc_nonword_00092,a black sikivoz,color_object,uncertain,non_word,base_0092,a black bicycle,pseudoword_replacement,bicycle,sikivoz
unc_nonword_00093,a lodik car,color_object,uncertain,non_word,base_0093,a black car,pseudoword_replacement,black,lodik
unc_nonword_00094,a black niwa,color_object,uncertain,non_word,base_0094,a black rack,pseudoword_replacement,rack,niwa
unc_nonword_00095,a geqej apple,color_object,uncertain,non_word,base_0095,a black apple,pseudoword_replacement,black,geqej
unc_nonword_00096,a ronus banana,color_object,uncertain,non_word,base_0096,a black banana,pseudoword_replacement,black,ronus
unc_nonword_00097,a black cero,color_object,uncertain,non_word,base_0097,a black book,pseudoword_replacement,book,cero
unc_nonword_00098,a xotap phone,color_object,uncertain,non_word,base_0098,a black phone,pseudoword_replacement,black,xotap
unc_nonword_00099,a black qowuye,color_object,uncertain,non_word,base_0099,a black laptop,pseudoword_replacement,laptop,qowuye
unc_nonword_00100,a black kirobo,color_object,uncertain,non_word,base_0100,a black camera,pseudoword_replacement,camera,kirobo
unc_nonword_00101,a black qeseyubo,color_object,uncertain,non_word,base_0101,a black backpack,pseudoword_replacement,backpack,qeseyubo
unc_nonword_00102,a dogoh television,color_object,uncertain,non_word,base_0102,a black television,pseudoword_replacement,black,dogoh
unc_nonword_00103,a lones dog,color_object,uncertain,non_word,base_0103,a white dog,pseudoword_replacement,white,lones
unc_nonword_00104,a white nolo,color_object,uncertain,non_word,base_0104,a white cat,pseudoword_replacement,cat,nolo
unc_nonword_00105,a white dobuc,color_object,uncertain,non_word,base_0105,a white chair,pseudoword_replacement,chair,dobuc
unc_nonword_00106,a white kazab,color_object,uncertain,non_word,base_0106,a white table,pseudoword_replacement,table,kazab
unc_nonword_00107,a jayek cup,color_object,uncertain,non_word,base_0107,a white cup,pseudoword_replacement,white,jayek
unc_nonword_00108,a taxes bottle,color_object,uncertain,non_word,base_0108,a white bottle,pseudoword_replacement,white,taxes
unc_nonword_00109,a white peyufem,color_object,uncertain,non_word,base_0109,a white bicycle,pseudoword_replacement,bicycle,peyufem
unc_nonword_00110,a xamuq car,color_object,uncertain,non_word,base_0110,a white car,pseudoword_replacement,white,xamuq
unc_nonword_00111,a white jaxe,color_object,uncertain,non_word,base_0111,a white rack,pseudoword_replacement,rack,jaxe
unc_nonword_00112,a mufuc apple,color_object,uncertain,non_word,base_0112,a white apple,pseudoword_replacement,white,mufuc
unc_nonword_00113,a white wopavi,color_object,uncertain,non_word,base_0113,a white banana,pseudoword_replacement,banana,wopavi
unc_nonword_00114,a rofop book,color_object,uncertain,non_word,base_0114,a white book,pseudoword_replacement,white,rofop
unc_nonword_00115,a white gohuz,color_object,uncertain,non_word,base_0115,a white phone,pseudoword_replacement,phone,gohuz
unc_nonword_00116,a white yutoru,color_object,uncertain,non_word,base_0116,a white laptop,pseudoword_replacement,laptop,yutoru
unc_nonword_00117,a white nedise,color_object,uncertain,non_word,base_0117,a white camera,pseudoword_replacement,camera,nedise
unc_nonword_00118,a white xuqibone,color_object,uncertain,non_word,base_0118,a white backpack,pseudoword_replacement,backpack,xuqibone
unc_nonword_00119,a white jililulubu,color_object,uncertain,non_word,base_0119,a white television,pseudoword_replacement,television,jililulubu
unc_nonword_00120,a derowe dog,color_object,uncertain,non_word,base_0120,a purple dog,pseudoword_replacement,purple,derowe
unc_nonword_00121,a purple zosa,color_object,uncertain,non_word,base_0121,a purple cat,pseudoword_replacement,cat,zosa
unc_nonword_00122,a meqemu chair,color_object,uncertain,non_word,base_0122,a purple chair,pseudoword_replacement,purple,meqemu
unc_nonword_00123,a purple tuvir,color_object,uncertain,non_word,base_0123,a purple table,pseudoword_replacement,table,tuvir
unc_nonword_00124,a purple poli,color_object,uncertain,non_word,base_0124,a purple cup,pseudoword_replacement,cup,poli
unc_nonword_00125,a purple kajifu,color_object,uncertain,non_word,base_0125,a purple bottle,pseudoword_replacement,bottle,kajifu
unc_nonword_00126,a jetixu bicycle,color_object,uncertain,non_word,base_0126,a purple bicycle,pseudoword_replacement,purple,jetixu
unc_nonword_00127,a purple feme,color_object,uncertain,non_word,base_0127,a purple car,pseudoword_replacement,car,feme
unc_nonword_00128,a purple hibu,color_object,uncertain,non_word,base_0128,a purple rack,pseudoword_replacement,rack,hibu
unc_nonword_00129,a lacume apple,color_object,uncertain,non_word,base_0129,a purple apple,pseudoword_replacement,purple,lacume
unc_nonword_00130,a purple faxito,color_object,uncertain,non_word,base_0130,a purple banana,pseudoword_replacement,banana,faxito
unc_nonword_00131,a purple neci,color_object,uncertain,non_word,base_0131,a purple book,pseudoword_replacement,book,neci
unc_nonword_00132,a purple faqod,color_object,uncertain,non_word,base_0132,a purple phone,pseudoword_replacement,phone,faqod
unc_nonword_00133,a gexide laptop,color_object,uncertain,non_word,base_0133,a purple laptop,pseudoword_replacement,purple,gexide
unc_nonword_00134,a woyuye camera,color_object,uncertain,non_word,base_0134,a purple camera,pseudoword_replacement,purple,woyuye
unc_nonword_00135,a purple somurixu,color_object,uncertain,non_word,base_0135,a purple backpack,pseudoword_replacement,backpack,somurixu
unc_nonword_00136,a yajela television,color_object,uncertain,non_word,base_0136,a purple television,pseudoword_replacement,purple,yajela
unc_nonword_00137,an kewaha dog,color_object,uncertain,non_word,base_0137,an orange dog,pseudoword_replacement,orange,kewaha
unc_nonword_00138,an orange suti,color_object,uncertain,non_word,base_0138,an orange cat,pseudoword_replacement,cat,suti
unc_nonword_00139,an kimode chair,color_object,uncertain,non_word,base_0139,an orange chair,pseudoword_replacement,orange,kimode
unc_nonword_00140,an orange zujof,color_object,uncertain,non_word,base_0140,an orange table,pseudoword_replacement,table,zujof
unc_nonword_00141,an zeleda cup,color_object,uncertain,non_word,base_0141,an orange cup,pseudoword_replacement,orange,zeleda
unc_nonword_00142,an muxisa bottle,color_object,uncertain,non_word,base_0142,an orange bottle,pseudoword_replacement,orange,muxisa
unc_nonword_00143,an orange moluwos,color_object,uncertain,non_word,base_0143,an orange bicycle,pseudoword_replacement,bicycle,moluwos
unc_nonword_00144,an yariyi car,color_object,uncertain,non_word,base_0144,an orange car,pseudoword_replacement,orange,yariyi
unc_nonword_00145,an dexubi rack,color_object,uncertain,non_word,base_0145,an orange rack,pseudoword_replacement,orange,dexubi
unc_nonword_00146,an hovole apple,color_object,uncertain,non_word,base_0146,an orange apple,pseudoword_replacement,orange,hovole
unc_nonword_00147,an orange zodopo,color_object,uncertain,non_word,base_0147,an orange banana,pseudoword_replacement,banana,zodopo
unc_nonword_00148,an orange nahi,color_object,uncertain,non_word,base_0148,an orange book,pseudoword_replacement,book,nahi
unc_nonword_00149,an orange tiquc,color_object,uncertain,non_word,base_0149,an orange phone,pseudoword_replacement,phone,tiquc
unc_nonword_00150,an orange dilifo,color_object,uncertain,non_word,base_0150,an orange laptop,pseudoword_replacement,laptop,dilifo
unc_nonword_00151,an woraju camera,color_object,uncertain,non_word,base_0151,an orange camera,pseudoword_replacement,orange,woraju
unc_nonword_00152,an orange yozocelu,color_object,uncertain,non_word,base_0152,an orange backpack,pseudoword_replacement,backpack,yozocelu
unc_nonword_00153,an motabu television,color_object,uncertain,non_word,base_0153,an orange television,pseudoword_replacement,orange,motabu
unc_nonword_00154,a hiwa dog,color_object,uncertain,non_word,base_0154,a pink dog,pseudoword_replacement,pink,hiwa
unc_nonword_00155,a pink defo,color_object,uncertain,non_word,base_0155,a pink cat,pseudoword_replacement,cat,defo
unc_nonword_00156,a zeti chair,color_object,uncertain,non_word,base_0156,a pink chair,pseudoword_replacement,pink,zeti
unc_nonword_00157,a pink rotes,color_object,uncertain,non_word,base_0157,a pink table,pseudoword_replacement,table,rotes
unc_nonword_00158,a qeyu cup,color_object,uncertain,non_word,base_0158,a pink cup,pseudoword_replacement,pink,qeyu
unc_nonword_00159,a diri bottle,color_object,uncertain,non_word,base_0159,a pink bottle,pseudoword_replacement,pink,diri
unc_nonword_00160,a pink bimuxog,color_object,uncertain,non_word,base_0160,a pink bicycle,pseudoword_replacement,bicycle,bimuxog
unc_nonword_00161,a pink wopi,color_object,uncertain,non_word,base_0161,a pink car,pseudoword_replacement,car,wopi
unc_nonword_00162,a pink sije,color_object,uncertain,non_word,base_0162,a pink rack,pseudoword_replacement,rack,sije
unc_nonword_00163,a pink kocit,color_object,uncertain,non_word,base_0163,a pink apple,pseudoword_replacement,apple,kocit
unc_nonword_00164,a pink qetagu,color_object,uncertain,non_word,base_0164,a pink banana,pseudoword_replacement,banana,qetagu
unc_nonword_00165,a pink fofu,color_object,uncertain,non_word,base_0165,a pink book,pseudoword_replacement,book,fofu
unc_nonword_00166,a pink bered,color_object,uncertain,non_word,base_0166,a pink phone,pseudoword_replacement,phone,bered
unc_nonword_00167,a pink liyoza,color_object,uncertain,non_word,base_0167,a pink laptop,pseudoword_replacement,laptop,liyoza
unc_nonword_00168,a pink wonowa,color_object,uncertain,non_word,base_0168,a pink camera,pseudoword_replacement,camera,wonowa
unc_nonword_00169,a kika backpack,color_object,uncertain,non_word,base_0169,a pink backpack,pseudoword_replacement,pink,kika
unc_nonword_00170,a pink fasemacici,color_object,uncertain,non_word,base_0170,a pink television,pseudoword_replacement,television,fasemacici
unc_nonword_00171,a brown poge,color_object,uncertain,non_word,base_0171,a brown dog,pseudoword_replacement,dog,poge
unc_nonword_00172,a brown xehe,color_object,uncertain,non_word,base_0172,a brown cat,pseudoword_replacement,cat,xehe
unc_nonword_00173,a yoyet chair,color_object,uncertain,non_word,base_0173,a brown chair,pseudoword_replacement,brown,yoyet
unc_nonword_00174,a kozis table,color_object,uncertain,non_word,base_0174,a brown table,pseudoword_replacement,brown,kozis
unc_nonword_00175,a brown bomu,color_object,uncertain,non_word,base_0175,a brown cup,pseudoword_replacement,cup,bomu
unc_nonword_00176,a dopum bottle,color_object,uncertain,non_word,base_0176,a brown bottle,pseudoword_replacement,brown,dopum
unc_nonword_00177,a brown lomeqof,color_object,uncertain,non_word,base_0177,a brown bicycle,pseudoword_replacement,bicycle,lomeqof
unc_nonword_00178,a qupum car,color_object,uncertain,non_word,base_0178,a brown car,pseudoword_replacement,brown,qupum
unc_nonword_00179,a brown bola,color_object,uncertain,non_word,base_0179,a brown rack,pseudoword_replacement,rack,bola
unc_nonword_00180,a yomey apple,color_object,uncertain,non_word,base_0180,a brown apple,pseudoword_replacement,brown,yomey
unc_nonword_00181,a brown keyiga,color_object,uncertain,non_word,base_0181,a brown banana,pseudoword_replacement,banana,keyiga
unc_nonword_00182,a mocup book,color_object,uncertain,non_word,base_0182,a brown book,pseudoword_replacement,brown,mocup
unc_nonword_00183,a dinoh phone,color_object,uncertain,non_word,base_0183,a brown phone,pseudoword_replacement,brown,dinoh
unc_nonword_00184,a gupuv laptop,color_object,uncertain,non_word,base_0184,a brown laptop,pseudoword_replacement,brown,gupuv
unc_nonword_00185,a brown hitina,color_object,uncertain,non_word,base_0185,a brown camera,pseudoword_replacement,camera,hitina
unc_nonword_00186,a brown dekowido,color_object,uncertain,non_word,base_0186,a brown backpack,pseudoword_replacement,backpack,dekowido
unc_nonword_00187,a lufop television,color_object,uncertain,non_word,base_0187,a brown television,pseudoword_replacement,brown,lufop
unc_nonword_00188,a gray xozi,color_object,uncertain,non_word,base_0188,a gray dog,pseudoword_replacement,dog,xozi
unc_nonword_00189,a kobu cat,color_object,uncertain,non_word,base_0189,a gray cat,pseudoword_replacement,gray,kobu
unc_nonword_00190,a gray yezaz,color_object,uncertain,non_word,base_0190,a gray chair,pseudoword_replacement,chair,yezaz
unc_nonword_00191,a gray mofec,color_object,uncertain,non_word,base_0191,a gray table,pseudoword_replacement,table,mofec
unc_nonword_00192,a mofa cup,color_object,uncertain,non_word,base_0192,a gray cup,pseudoword_replacement,gray,mofa
unc_nonword_00193,a weqo bottle,color_object,uncertain,non_word,base_0193,a gray bottle,pseudoword_replacement,gray,weqo
unc_nonword_00194,a gray woxerat,color_object,uncertain,non_word,base_0194,a gray bicycle,pseudoword_replacement,bicycle,woxerat
unc_nonword_00195,a gray lape,color_object,uncertain,non_word,base_0195,a gray car,pseudoword_replacement,car,lape
unc_nonword_00196,a gray sepa,color_object,uncertain,non_word,base_0196,a gray rack,pseudoword_replacement,rack,sepa
unc_nonword_00197,a gray wicol,color_object,uncertain,non_word,base_0197,a gray apple,pseudoword_replacement,apple,wicol
unc_nonword_00198,a fode banana,color_object,uncertain,non_word,base_0198,a gray banana,pseudoword_replacement,gray,fode
unc_nonword_00199,a cike book,color_object,uncertain,non_word,base_0199,a gray book,pseudoword_replacement,gray,cike
unc_nonword_00200,a duju phone,color_object,uncertain,non_word,base_0200,a gray phone,pseudoword_replacement,gray,duju
unc_nonword_00201,a kigu laptop,color_object,uncertain,non_word,base_0201,a gray laptop,pseudoword_replacement,gray,kigu
unc_nonword_00202,a legu camera,color_object,uncertain,non_word,base_0202,a gray camera,pseudoword_replacement,gray,legu
unc_nonword_00203,a gray habebiku,color_object,uncertain,non_word,base_0203,a gray backpack,pseudoword_replacement,backpack,habebiku
unc_nonword_00204,a gray belagovado,color_object,uncertain,non_word,base_0204,a gray television,pseudoword_replacement,television,belagovado
unc_nonword_00205,a magenta puxa,color_object,uncertain,non_word,base_0205,a magenta dog,pseudoword_replacement,dog,puxa
unc_nonword_00206,a magenta veya,color_object,uncertain,non_word,base_0206,a magenta cat,pseudoword_replacement,cat,veya
unc_nonword_00207,a magenta sacoq,color_object,uncertain,non_word,base_0207,a magenta chair,pseudoword_replacement,chair,sacoq
unc_nonword_00208,a magenta fosad,color_object,uncertain,non_word,base_0208,a magenta table,pseudoword_replacement,table,fosad
unc_nonword_00209,a magenta yede,color_object,uncertain,non_word,base_0209,a magenta cup,pseudoword_replacement,cup,yede
unc_nonword_00210,a magenta yuwiqu,color_object,uncertain,non_word,base_0210,a magenta bottle,pseudoword_replacement,bottle,yuwiqu
unc_nonword_00211,a magenta suyofaz,color_object,uncertain,non_word,base_0211,a magenta bicycle,pseudoword_replacement,bicycle,suyofaz
unc_nonword_00212,a rokonoq car,color_object,uncertain,non_word,base_0212,a magenta car,pseudoword_replacement,magenta,rokonoq
unc_nonword_00213,a magenta firi,color_object,uncertain,non_word,base_0213,a magenta rack,pseudoword_replacement,rack,firi
unc_nonword_00214,a magenta petad,color_object,uncertain,non_word,base_0214,a magenta apple,pseudoword_replacement,apple,petad
unc_nonword_00215,a dofiguc banana,color_object,uncertain,non_word,base_0215,a magenta banana,pseudoword_replacement,magenta,dofiguc
unc_nonword_00216,a magenta fopo,color_object,uncertain,non_word,base_0216,a magenta book,pseudoword_replacement,book,fopo
unc_nonword_00217,a mumifuv phone,color_object,uncertain,non_word,base_0217,a magenta phone,pseudoword_replacement,magenta,mumifuv
unc_nonword_00218,a gokapup laptop,color_object,uncertain,non_word,base_0218,a magenta laptop,pseudoword_replacement,magenta,gokapup
unc_nonword_00219,a lukowuy camera,color_object,uncertain,non_word,base_0219,a magenta camera,pseudoword_replacement,magenta,lukowuy
unc_nonword_00220,a yibelin backpack,color_object,uncertain,non_word,base_0220,a magenta backpack,pseudoword_replacement,magenta,yibelin
unc_nonword_00221,a magenta beguqagadu,color_object,uncertain,non_word,base_0221,a magenta television,pseudoword_replacement,television,beguqagadu
unc_nonword_00222,a qosi dog,color_object,uncertain,non_word,base_0222,a lime dog,pseudoword_replacement,lime,qosi
unc_nonword_00223,a pinu cat,color_object,uncertain,non_word,base_0223,a lime cat,pseudoword_replacement,lime,pinu
unc_nonword_00224,a cehu chair,color_object,uncertain,non_word,base_0224,a lime chair,pseudoword_replacement,lime,cehu
unc_nonword_00225,a diso table,color_object,uncertain,non_word,base_0225,a lime table,pseudoword_replacement,lime,diso
unc_nonword_00226,a lime yori,color_object,uncertain,non_word,base_0226,a lime cup,pseudoword_replacement,cup,yori
unc_nonword_00227,a vapo bottle,color_object,uncertain,non_word,base_0227,a lime bottle,pseudoword_replacement,lime,vapo
unc_nonword_00228,a mutu bicycle,color_object,uncertain,non_word,base_0228,a lime bicycle,pseudoword_replacement,lime,mutu
unc_nonword_00229,a lime cequ,color_object,uncertain,non_word,base_0229,a lime car,pseudoword_replacement,car,cequ
unc_nonword_00230,a beme rack,color_object,uncertain,non_word,base_0230,a lime rack,pseudoword_replacement,lime,beme
unc_nonword_00231,a lina apple,color_object,uncertain,non_word,base_0231,a lime apple,pseudoword_replacement,lime,lina
unc_nonword_00232,a tohe banana,color_object,uncertain,non_word,base_0232,a lime banana,pseudoword_replacement,lime,tohe
unc_nonword_00233,a lime wevu,color_object,uncertain,non_word,base_0233,a lime book,pseudoword_replacement,book,wevu
unc_nonword_00234,a lime docob,color_object,uncertain,non_word,base_0234,a lime phone,pseudoword_replacement,phone,docob
unc_nonword_00235,a lime dixoxo,color_object,uncertain,non_word,base_0235,a lime laptop,pseudoword_replacement,laptop,dixoxo
unc_nonword_00236,a lime maqane,color_object,uncertain,non_word,base_0236,a lime camera,pseudoword_replacement,camera,maqane
