prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,corrupted_word
unc_00065,a phot of a phone,photo_of_object,uncertain,corrupted_noisy,base_0013,a photo of a phone,truncate_word,photo
unc_00066,a phot of a laptop,photo_of_object,uncertain,corrupted_noisy,base_0014,a photo of a laptop,delete_char,photo
unc_00067,a xphoto of a laptop,photo_of_object,uncertain,corrupted_noisy,base_0014,a photo of a laptop,insert_char,photo
unc_00068,a photo of a zaptop,photo_of_object,uncertain,corrupted_noisy,base_0014,a photo of a laptop,substitute_char,laptop
unc_00069,a pohto of a laptop,photo_of_object,uncertain,corrupted_noisy,base_0014,a photo of a laptop,swap_adjacent_chars,photo
unc_00070,a photo of a lap,photo_of_object,uncertain,corrupted_noisy,base_0014,a photo of a laptop,truncate_word,laptop
unc_00071,a phto of a camera,photo_of_object,uncertain,corrupted_noisy,base_0015,a photo of a camera,delete_char,photo
unc_00072,a photo of a cramera,photo_of_object,uncertain,corrupted_noisy,base_0015,a photo of a camera,insert_char,camera
unc_00073,a phmto of a camera,photo_of_object,uncertain,corrupted_noisy,base_0015,a photo of a camera,substitute_char,photo
unc_00074,a photo of a camrea,photo_of_object,uncertain,corrupted_noisy,base_0015,a photo of a camera,swap_adjacent_chars,camera
unc_00075,a photo of a camer,photo_of_object,uncertain,corrupted_noisy,base_0015,a photo of a camera,truncate_word,camera
unc_00076,a poto of a backpack,photo_of_object,uncertain,corrupted_noisy,base_0016,a photo of a backpack,delete_char,photo
unc_00077,a phaoto of a backpack,photo_of_object,uncertain,corrupted_noisy,base_0016,a photo of a backpack,insert_char,photo
unc_00078,a photh of a backpack,photo_of_object,uncertain,corrupted_noisy,base_0016,a photo of a backpack,substitute_char,photo
unc_00079,a hpoto of a backpack,photo_of_object,uncertain,corrupted_noisy,base_0016,a photo of a backpack,swap_adjacent_chars,photo
unc_00080,a phot of a backpack,photo_of_object,uncertain,corrupted_noisy,base_0016,a photo of a backpack,truncate_word,photo
unc_00081,a hoto of a television,photo_of_object,uncertain,corrupted_noisy,base_0017,a photo of a television,delete_char,photo
unc_00082,a photo of a tqelevision,photo_of_object,uncertain,corrupted_noisy,base_0017,a photo of a television,insert_char,television
unc_00083,a phwto of a television,photo_of_object,uncertain,corrupted_noisy,base_0017,a photo of a television,substitute_char,photo
unc_00084,a photo of a telveision,photo_of_object,uncertain,corrupted_noisy,base_0017,a photo of a television,swap_adjacent_chars,television
unc_00085,a ph of a television,photo_of_object,uncertain,corrupted_noisy,base_0017,a photo of a television,truncate_word,photo
unc_00086,a red og,color_object,uncertain,corrupted_noisy,base_0018,a red dog,delete_char,dog
unc_00087,a red dogg,color_object,uncertain,corrupted_noisy,base_0018,a red dog,insert_char,dog
unc_00088,a wed dog,color_object,uncertain,corrupted_noisy,base_0018,a red dog,substitute_char,red
unc_00089,a red dgo,color_object,uncertain,corrupted_noisy,base_0018,a red dog,swap_adjacent_chars,dog
unc_00090,a red do,color_object,uncertain,corrupted_noisy,base_0018,a red dog,truncate_word,dog
unc_00091,a red ct,color_object,uncertain,corrupted_noisy,base_0019,a red cat,delete_char,cat
unc_00092,a bred cat,color_object,uncertain,corrupted_noisy,base_0019,a red cat,insert_char,red
unc_00093,a red cak,color_object,uncertain,corrupted_noisy,base_0019,a red cat,substitute_char,cat
unc_00094,a erd cat,color_object,uncertain,corrupted_noisy,base_0019,a red cat,swap_adjacent_chars,red
unc_00095,a re cat,color_object,uncertain,corrupted_noisy,base_0019,a red cat,truncate_word,red
unc_00096,a re chair,color_object,uncertain,corrupted_noisy,base_0020,a red chair,delete_char,red
unc_00097,a red cnhair,color_object,uncertain,corrupted_noisy,base_0020,a red chair,insert_char,chair
unc_00098,a rpd chair,color_object,uncertain,corrupted_noisy,base_0020,a red chair,substitute_char,red
unc_00099,a erd chair,color_object,uncertain,corrupted_noisy,base_0020,a red chair,swap_adjacent_chars,red
unc_00100,a red ch,color_object,uncertain,corrupted_noisy,base_0020,a red chair,truncate_word,chair
unc_00101,a ed table,color_object,uncertain,corrupted_noisy,base_0021,a red table,delete_char,red
unc_00102,a yred table,color_object,uncertain,corrupted_noisy,base_0021,a red table,insert_char,red
unc_00103,a ned table,color_object,uncertain,corrupted_noisy,base_0021,a red table,substitute_char,red
unc_00104,a red tabel,color_object,uncertain,corrupted_noisy,base_0021,a red table,swap_adjacent_chars,table
unc_00105,a re table,color_object,uncertain,corrupted_noisy,base_0021,a red table,truncate_word,red
unc_00106,a red up,color_object,uncertain,corrupted_noisy,base_0022,a red cup,delete_char,cup
unc_00107,a reda cup,color_object,uncertain,corrupted_noisy,base_0022,a red cup,insert_char,red
unc_00108,a red cop,color_object,uncertain,corrupted_noisy,base_0022,a red cup,substitute_char,cup
unc_00109,a red cpu,color_object,uncertain,corrupted_noisy,base_0022,a red cup,swap_adjacent_chars,cup
unc_00110,a red cu,color_object,uncertain,corrupted_noisy,base_0022,a red cup,truncate_word,cup
unc_00111,a ed bottle,color_object,uncertain,corrupted_noisy,base_0023,a red bottle,delete_char,red
unc_00112,a red bbottle,color_object,uncertain,corrupted_noisy,base_0023,a red bottle,insert_char,bottle
unc_00113,a rel bottle,color_object,uncertain,corrupted_noisy,base_0023,a red bottle,substitute_char,red
unc_00114,a erd bottle,color_object,uncertain,corrupted_noisy,base_0023,a red bottle,swap_adjacent_chars,red
unc_00115,a red bot,color_object,uncertain,corrupted_noisy,base_0023,a red bottle,truncate_word,bottle
unc_00116,a ed bicycle,color_object,uncertain,corrupted_noisy,base_0024,a red bicycle,delete_char,red
unc_00117,a rced bicycle,color_object,uncertain,corrupted_noisy,base_0024,a red bicycle,insert_char,red
unc_00118,a rei bicycle,color_object,uncertain,corrupted_noisy,base_0024,a red bicycle,substitute_char,red
unc_00119,a red ibcycle,color_object,uncertain,corrupted_noisy,base_0024,a red bicycle,swap_adjacent_chars,bicycle
unc_00120,a re bicycle,color_object,uncertain,corrupted_noisy,base_0024,a red bicycle,truncate_word,red
unc_00121,a re car,color_object,uncertain,corrupted_noisy,base_0025,a red car,delete_char,red
unc_00122,a redv car,color_object,uncertain,corrupted_noisy,base_0025,a red car,insert_char,red
unc_00123,a red chr,color_object,uncertain,corrupted_noisy,base_0025,a red car,substitute_char,car
unc_00124,a red acr,color_object,uncertain,corrupted_noisy,base_0025,a red car,swap_adjacent_chars,car
unc_00125,a red ca,color_object,uncertain,corrupted_noisy,base_0025,a red car,truncate_word,car
unc_00126,a red rck,color_object,uncertain,corrupted_noisy,base_0026,a red rack,delete_char,rack
unc_00127,a red rackk,color_object,uncertain,corrupted_noisy,base_0026,a red rack,insert_char,rack
unc_00128,a oed rack,color_object,uncertain,corrupted_noisy,base_0026,a red rack,substitute_char,red
unc_00129,a erd rack,color_object,uncertain,corrupted_noisy,base_0026,a red rack,swap_adjacent_chars,red
unc_00130,a re rack,color_object,uncertain,corrupted_noisy,base_0026,a red rack,truncate_word,red
unc_00131,a red aple,color_object,uncertain,corrupted_noisy,base_0027,a red apple,delete_char,apple
unc_00132,a red happle,color_object,uncertain,corrupted_noisy,base_0027,a red apple,insert_char,apple
unc_00133,a red apfle,color_object,uncertain,corrupted_noisy,base_0027,a red apple,substitute_char,apple
unc_00134,a red aplpe,color_object,uncertain,corrupted_noisy,base_0027,a red apple,swap_adjacent_chars,apple
unc_00135,a re apple,color_object,uncertain,corrupted_noisy,base_0027,a red apple,truncate_word,red
unc_00136,a red banan,color_object,uncertain,corrupted_noisy,base_0028,a red banana,delete_char,banana
unc_00137,a ried banana,color_object,uncertain,corrupted_noisy,base_0028,a red banana,insert_char,red
unc_00138,a yed banana,color_object,uncertain,corrupted_noisy,base_0028,a red banana,substitute_char,red
unc_00139,a rde banana,color_object,uncertain,corrupted_noisy,base_0028,a red banana,swap_adjacent_chars,red
unc_00140,a red ban,color_object,uncertain,corrupted_noisy,base_0028,a red banana,truncate_word,banana
unc_00141,a re book,color_object,uncertain,corrupted_noisy,base_0029,a red book,delete_char,red
unc_00142,a red bvook,color_object,uncertain,corrupted_noisy,base_0029,a red book,insert_char,book
unc_00143,a red booi,color_object,uncertain,corrupted_noisy,base_0029,a red book,substitute_char,book
unc_00144,a erd book,color_object,uncertain,corrupted_noisy,base_0029,a red book,swap_adjacent_chars,red
unc_00145,a red bo,color_object,uncertain,corrupted_noisy,base_0029,a red book,truncate_word,book
unc_00146,a ed phone,color_object,uncertain,corrupted_noisy,base_0030,a red phone,delete_char,red
unc_00147,a red puhone,color_object,uncertain,corrupted_noisy,base_0030,a red phone,insert_char,phone
unc_00148,a red pyone,color_object,uncertain,corrupted_noisy,base_0030,a red phone,substitute_char,phone
unc_00149,a red phoen,color_object,uncertain,corrupted_noisy,base_0030,a red phone,swap_adjacent_chars,phone
unc_00150,a re phone,color_object,uncertain,corrupted_noisy,base_0030,a red phone,truncate_word,red
unc_00151,a ed laptop,color_object,uncertain,corrupted_noisy,base_0031,a red laptop,delete_char,red
unc_00152,a lred laptop,color_object,uncertain,corrupted_noisy,base_0031,a red laptop,insert_char,red
unc_00153,a rfd laptop,color_object,uncertain,corrupted_noisy,base_0031,a red laptop,substitute_char,red
unc_00154,a rde laptop,color_object,uncertain,corrupted_noisy,base_0031,a red laptop,swap_adjacent_chars,red
unc_00155,a red lapto,color_object,uncertain,corrupted_noisy,base_0031,a red laptop,truncate_word,laptop
unc_00156,a red cmera,color_object,uncertain,corrupted_noisy,base_0032,a red camera,delete_char,camera
unc_00157,a lred camera,color_object,uncertain,corrupted_noisy,base_0032,a red camera,insert_char,red
unc_00158,a red cameya,color_object,uncertain,corrupted_noisy,base_0032,a red camera,substitute_char,camera
unc_00159,a erd camera,color_object,uncertain,corrupted_noisy,base_0032,a red camera,swap_adjacent_chars,red
unc_00160,a re camera,color_object,uncertain,corrupted_noisy,base_0032,a red camera,truncate_word,red
unc_00161,a rd backpack,color_object,uncertain,corrupted_noisy,base_0033,a red backpack,delete_char,red
unc_00162,a rxed backpack,color_object,uncertain,corrupted_noisy,base_0033,a red backpack,insert_char,red
unc_00163,a red backpawk,color_object,uncertain,corrupted_noisy,base_0033,a red backpack,substitute_char,backpack
unc_00164,a rde backpack,color_object,uncertain,corrupted_noisy,base_0033,a red backpack,swap_adjacent_chars,red
unc_00165,a re backpack,color_object,uncertain,corrupted_noisy,base_0033,a red backpack,truncate_word,red
unc_00166,a rd television,color_object,uncertain,corrupted_noisy,base_0034,a red television,delete_char,red
unc_00167,a redh television,color_object,uncertain,corrupted_noisy,base_0034,a red television,insert_char,red
unc_00168,a rmd television,color_object,uncertain,corrupted_noisy,base_0034,a red television,substitute_char,red
unc_00169,a red telveision,color_object,uncertain,corrupted_noisy,base_0034,a red television,swap_adjacent_chars,television
unc_00170,a re television,color_object,uncertain,corrupted_noisy,base_0034,a red television,truncate_word,red
unc_00171,a bue dog,color_object,uncertain,corrupted_noisy,base_0035,a blue dog,delete_char,blue
unc_00172,a blue doig,color_object,uncertain,corrupted_noisy,base_0035,a blue dog,insert_char,dog
unc_00173,a blle dog,color_object,uncertain,corrupted_noisy,base_0035,a blue dog,substitute_char,blue
unc_00174,a blue dgo,color_object,uncertain,corrupted_noisy,base_0035,a blue dog,swap_adjacent_chars,dog
unc_00175,a blu dog,color_object,uncertain,corrupted_noisy,base_0035,a blue dog,truncate_word,blue
unc_00176,a blue at,color_object,uncertain,corrupted_noisy,base_0036,a blue cat,delete_char,cat
unc_00177,a blue dcat,color_object,uncertain,corrupted_noisy,base_0036,a blue cat,insert_char,cat
unc_00178,a blue cyt,color_object,uncertain,corrupted_noisy,base_0036,a blue cat,substitute_char,cat
unc_00179,a blue cta,color_object,uncertain,corrupted_noisy,base_0036,a blue cat,swap_adjacent_chars,cat
unc_00180,a bl cat,color_object,uncertain,corrupted_noisy,base_0036,a blue cat,truncate_word,blue
unc_00181,a ble chair,color_object,uncertain,corrupted_noisy,base_0037,a blue chair,delete_char,blue
unc_00182,a bluae chair,color_object,uncertain,corrupted_noisy,base_0037,a blue chair,insert_char,blue
unc_00183,a blne chair,color_object,uncertain,corrupted_noisy,base_0037,a blue chair,substitute_char,blue
unc_00184,a bleu chair,color_object,uncertain,corrupted_noisy,base_0037,a blue chair,swap_adjacent_chars,blue
unc_00185,a blue ch,color_object,uncertain,corrupted_noisy,base_0037,a blue chair,truncate_word,chair
unc_00186,a blue able,color_object,uncertain,corrupted_noisy,base_0038,a blue table,delete_char,table
unc_00187,a blue tablje,color_object,uncertain,corrupted_noisy,base_0038,a blue table,insert_char,table
unc_00188,a blue tanle,color_object,uncertain,corrupted_noisy,base_0038,a blue table,substitute_char,table
unc_00189,a blue tbale,color_object,uncertain,corrupted_noisy,base_0038,a blue table,swap_adjacent_chars,table
unc_00190,a bl table,color_object,uncertain,corrupted_noisy,base_0038,a blue table,truncate_word,blue
unc_00191,a blue cu,color_object,uncertain,corrupted_noisy,base_0039,a blue cup,delete_char,cup
unc_00192,a blues cup,color_object,uncertain,corrupted_noisy,base_0039,a blue cup,insert_char,blue
unc_00193,a blue crp,color_object,uncertain,corrupted_noisy,base_0039,a blue cup,substitute_char,cup
unc_00194,a bule cup,color_object,uncertain,corrupted_noisy,base_0039,a blue cup,swap_adjacent_chars,blue
unc_00195,a blue cu,color_object,uncertain,corrupted_noisy,base_0039,a blue cup,truncate_word,cup
unc_00196,a blu bottle,color_object,uncertain,corrupted_noisy,base_0040,a blue bottle,delete_char,blue
unc_00197,a blue bototle,color_object,uncertain,corrupted_noisy,base_0040,a blue bottle,insert_char,bottle
unc_00198,a blue bottlh,color_object,uncertain,corrupted_noisy,base_0040,a blue bottle,substitute_char,bottle
unc_00199,a blue btotle,color_object,uncertain,corrupted_noisy,base_0040,a blue bottle,swap_adjacent_chars,bottle
unc_00200,a bl bottle,color_object,uncertain,corrupted_noisy,base_0040,a blue bottle,truncate_word,blue
unc_00201,a blue icycle,color_object,uncertain,corrupted_noisy,base_0041,a blue bicycle,delete_char,bicycle
unc_00202,a blhue bicycle,color_object,uncertain,corrupted_noisy,base_0041,a blue bicycle,insert_char,blue
unc_00203,a baue bicycle,color_object,uncertain,corrupted_noisy,base_0041,a blue bicycle,substitute_char,blue
unc_00204,a lbue bicycle,color_object,uncertain,corrupted_noisy,base_0041,a blue bicycle,swap_adjacent_chars,blue
unc_00205,a blue bicy,color_object,uncertain,corrupted_noisy,base_0041,a blue bicycle,truncate_word,bicycle
unc_00206,a blu car,color_object,uncertain,corrupted_noisy,base_0042,a blue car,delete_char,blue
unc_00207,a blue cwar,color_object,uncertain,corrupted_noisy,base_0042,a blue car,insert_char,car
unc_00208,a blue cnr,color_object,uncertain,corrupted_noisy,base_0042,a blue car,substitute_char,car
unc_00209,a lbue car,color_object,uncertain,corrupted_noisy,base_0042,a blue car,swap_adjacent_chars,blue
unc_00210,a blu car,color_object,uncertain,corrupted_noisy,base_0042,a blue car,truncate_word,blue
unc_00211,a blue rck,color_object,uncertain,corrupted_noisy,base_0043,a blue rack,delete_char,rack
unc_00212,a blueo rack,color_object,uncertain,corrupted_noisy,base_0043,a blue rack,insert_char,blue
unc_00213,a bdue rack,color_object,uncertain,corrupted_noisy,base_0043,a blue rack,substitute_char,blue
unc_00214,a blue arck,color_object,uncertain,corrupted_noisy,base_0043,a blue rack,swap_adjacent_chars,rack
unc_00215,a blue ra,color_object,uncertain,corrupted_noisy,base_0043,a blue rack,truncate_word,rack
unc_00216,a blue appl,color_object,uncertain,corrupted_noisy,base_0044,a blue apple,delete_char,apple
unc_00217,a blue apploe,color_object,uncertain,corrupted_noisy,base_0044,a blue apple,insert_char,apple
unc_00218,a blup apple,color_object,uncertain,corrupted_noisy,base_0044,a blue apple,substitute_char,blue
unc_00219,a blue apple,color_object,uncertain,corrupted_noisy,base_0044,a blue apple,swap_adjacent_chars,apple
unc_00220,a blue ap,color_object,uncertain,corrupted_noisy,base_0044,a blue apple,truncate_word,apple
unc_00221,a blue banan,color_object,uncertain,corrupted_noisy,base_0045,a blue banana,delete_char,banana
unc_00222,a bloue banana,color_object,uncertain,corrupted_noisy,base_0045,a blue banana,insert_char,blue
unc_00223,a blhe banana,color_object,uncertain,corrupted_noisy,base_0045,a blue banana,substitute_char,blue
unc_00224,a blue baanna,color_object,uncertain,corrupted_noisy,base_0045,a blue banana,swap_adjacent_chars,banana
unc_00225,a blue ban,color_object,uncertain,corrupted_noisy,base_0045,a blue banana,truncate_word,banana
unc_00226,a bue book,color_object,uncertain,corrupted_noisy,base_0046,a blue book,delete_char,blue
unc_00227,a bmlue book,color_object,uncertain,corrupted_noisy,base_0046,a blue book,insert_char,blue
unc_00228,a bcue book,color_object,uncertain,corrupted_noisy,base_0046,a blue book,substitute_char,blue
unc_00229,a blue book,color_object,uncertain,corrupted_noisy,base_0046,a blue book,swap_adjacent_chars,book
unc_00230,a blue bo,color_object,uncertain,corrupted_noisy,base_0046,a blue book,truncate_word,book
unc_00231,a blue hone,color_object,uncertain,corrupted_noisy,base_0047,a blue phone,delete_char,phone
unc_00232,a blume phone,color_object,uncertain,corrupted_noisy,base_0047,a blue phone,insert_char,blue
unc_00233,a bluq phone,color_object,uncertain,corrupted_noisy,base_0047,a blue phone,substitute_char,blue
unc_00234,a bule phone,color_object,uncertain,corrupted_noisy,base_0047,a blue phone,swap_adjacent_chars,blue
unc_00235,a blue pho,color_object,uncertain,corrupted_noisy,base_0047,a blue phone,truncate_word,phone
unc_00236,a blue laptp,color_object,uncertain,corrupted_noisy,base_0048,a blue laptop,delete_char,laptop
unc_00237,a bluhe laptop,color_object,uncertain,corrupted_noisy,base_0048,a blue laptop,insert_char,blue
unc_00238,a blue lappop,color_object,uncertain,corrupted_noisy,base_0048,a blue laptop,substitute_char,laptop
unc_00239,a bule laptop,color_object,uncertain,corrupted_noisy,base_0048,a blue laptop,swap_adjacent_chars,blue
unc_00240,a blue lap,color_object,uncertain,corrupted_noisy,base_0048,a blue laptop,truncate_word,laptop
unc_00241,a blue camer,color_object,uncertain,corrupted_noisy,base_0049,a blue camera,delete_char,camera
unc_00242,a bluee camera,color_object,uncertain,corrupted_noisy,base_0049,a blue camera,insert_char,blue
unc_00243,a blut camera,color_object,uncertain,corrupted_noisy,base_0049,a blue camera,substitute_char,blue
unc_00244,a lbue camera,color_object,uncertain,corrupted_noisy,base_0049,a blue camera,swap_adjacent_chars,blue
unc_00245,a blue camer,color_object,uncertain,corrupted_noisy,base_0049,a blue camera,truncate_word,camera
unc_00246,a blue bakpack,color_object,uncertain,corrupted_noisy,base_0050,a blue backpack,delete_char,backpack
unc_00247,a blmue backpack,color_object,uncertain,corrupted_noisy,base_0050,a blue backpack,insert_char,blue
unc_00248,a blue bacppack,color_object,uncertain,corrupted_noisy,base_0050,a blue backpack,substitute_char,backpack
unc_00249,a blue bakcpack,color_object,uncertain,corrupted_noisy,base_0050,a blue backpack,swap_adjacent_chars,backpack
unc_00250,a blue backpa,color_object,uncertain,corrupted_noisy,base_0050,a blue backpack,truncate_word,backpack
unc_00251,a blue teleision,color_object,uncertain,corrupted_noisy,base_0051,a blue television,delete_char,television
unc_00252,a bluae television,color_object,uncertain,corrupted_noisy,base_0051,a blue television,insert_char,blue
unc_00253,a blhe television,color_object,uncertain,corrupted_noisy,base_0051,a blue television,substitute_char,blue
unc_00254,a bleu television,color_object,uncertain,corrupted_noisy,base_0051,a blue television,swap_adjacent_chars,blue
unc_00255,a blu television,color_object,uncertain,corrupted_noisy,base_0051,a blue television,truncate_word,blue
unc_00256,a geen dog,color_object,uncertain,corrupted_noisy,base_0052,a green dog,delete_char,green
unc_00257,a greeen dog,color_object,uncertain,corrupted_noisy,base_0052,a green dog,insert_char,green
unc_00258,a gpeen dog,color_object,uncertain,corrupted_noisy,base_0052,a green dog,substitute_char,green
unc_00259,a geren dog,color_object,uncertain,corrupted_noisy,base_0052,a green dog,swap_adjacent_chars,green
unc_00260,a green do,color_object,uncertain,corrupted_noisy,base_0052,a green dog,truncate_word,dog
unc_00261,a green ct,color_object,uncertain,corrupted_noisy,base_0053,a green cat,delete_char,cat
unc_00262,a greetn cat,color_object,uncertain,corrupted_noisy,base_0053,a green cat,insert_char,green
unc_00263,a gjeen cat,color_object,uncertain,corrupted_noisy,base_0053,a green cat,substitute_char,green
