prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,original_object,nonsense_attribute
unc_adv_00026,an edible rack,attribute_object,uncertain,adversarial_nonsense,base_0281,a big rack,replace_attribute_with_nonsense_attribute,rack,edible
unc_adv_00027,a transparent apple,attribute_object,uncertain,adversarial_nonsense,base_0282,a big apple,replace_attribute_with_nonsense_attribute,apple,transparent
unc_adv_00028,a transparent banana,attribute_object,uncertain,adversarial_nonsense,base_0283,a big banana,replace_attribute_with_nonsense_attribute,banana,transparent
unc_adv_00029,a transparent book,attribute_object,uncertain,adversarial_nonsense,base_0284,a big book,replace_attribute_with_nonsense_attribute,book,transparent
unc_adv_00030,a melting phone,attribute_object,uncertain,adversarial_nonsense,base_0285,a big phone,replace_attribute_with_nonsense_attribute,phone,melting
unc_adv_00031,a singing laptop,attribute_object,uncertain,adversarial_nonsense,base_0286,a big laptop,replace_attribute_with_nonsense_attribute,laptop,singing
unc_adv_00032,an edible camera,attribute_object,uncertain,adversarial_nonsense,base_0287,a big camera,replace_attribute_with_nonsense_attribute,camera,edible
unc_adv_00033,a singing backpack,attribute_object,uncertain,adversarial_nonsense,base_0288,a big backpack,replace_attribute_with_nonsense_attribute,backpack,singing
unc_adv_00034,a melting television,attribute_object,uncertain,adversarial_nonsense,base_0289,a big television,replace_attribute_with_nonsense_attribute,television,melting
unc_adv_00035,a sleeping dog,attribute_object,uncertain,adversarial_nonsense,base_0290,an old dog,replace_attribute_with_nonsense_attribute,dog,sleeping
unc_adv_00036,a liquid cat,attribute_object,uncertain,adversarial_nonsense,base_0291,an old cat,replace_attribute_with_nonsense_attribute,cat,liquid
unc_adv_00037,an edible chair,attribute_object,uncertain,adversarial_nonsense,base_0292,an old chair,replace_attribute_with_nonsense_attribute,chair,edible
unc_adv_00038,a transparent table,attribute_object,uncertain,adversarial_nonsense,base_0293,an old table,replace_attribute_with_nonsense_attribute,table,transparent
unc_adv_00039,a singing cup,attribute_object,uncertain,adversarial_nonsense,base_0294,an old cup,replace_attribute_with_nonsense_attribute,cup,singing
unc_adv_00040,a sleeping bottle,attribute_object,uncertain,adversarial_nonsense,base_0295,an old bottle,replace_attribute_with_nonsense_attribute,bottle,sleeping
unc_adv_00041,a sleeping bicycle,attribute_object,uncertain,adversarial_nonsense,base_0296,an old bicycle,replace_attribute_with_nonsense_attribute,bicycle,sleeping
unc_adv_00042,an edible car,attribute_object,uncertain,adversarial_nonsense,base_0297,an old car,replace_attribute_with_nonsense_attribute,car,edible
unc_adv_00043,an edible rack,attribute_object,uncertain,adversarial_nonsense,base_0298,an old rack,replace_attribute_with_nonsense_attribute,rack,edible
unc_adv_00044,a sleeping apple,attribute_object,uncertain,adversarial_nonsense,base_0299,an old apple,replace_attribute_with_nonsense_attribute,apple,sleeping
unc_adv_00045,a liquid banana,attribute_object,uncertain,adversarial_nonsense,base_0300,an old banana,replace_attribute_with_nonsense_attribute,banana,liquid
unc_adv_00046,a liquid book,attribute_object,uncertain,adversarial_nonsense,base_0301,an old book,replace_attribute_with_nonsense_attribute,book,liquid
unc_adv_00047,a singing phone,attribute_object,uncertain,adversarial_nonsense,base_0302,an old phone,replace_attribute_with_nonsense_attribute,phone,singing
unc_adv_00048,a liquid laptop,attribute_object,uncertain,adversarial_nonsense,base_0303,an old laptop,replace_attribute_with_nonsense_attribute,laptop,liquid
unc_adv_00049,a sleeping camera,attribute_object,uncertain,adversarial_nonsense,base_0304,an old camera,replace_attribute_with_nonsense_attribute,camera,sleeping
unc_adv_00050,a sleeping backpack,attribute_object,uncertain,adversarial_nonsense,base_0305,an old backpack,replace_attribute_with_nonsense_attribute,backpack,sleeping
unc_adv_00051,a melting television,attribute_object,uncertain,adversarial_nonsense,base_0306,an old television,replace_attribute_with_nonsense_attribute,television,melting
unc_adv_00052,a sleeping dog,attribute_object,uncertain,adversarial_nonsense,base_0307,a new dog,replace_attribute_with_nonsense_attribute,dog,sleeping
unc_adv_00053,a liquid cat,attribute_object,uncertain,adversarial_nonsense,base_0308,a new cat,replace_attribute_with_nonsense_attribute,cat,liquid
unc_adv_00054,a transparent chair,attribute_object,uncertain,adversarial_nonsense,base_0309,a new chair,replace_attribute_with_nonsense_attribute,chair,transparent
unc_adv_00055,a singing table,attribute_object,uncertain,adversarial_nonsense,base_0310,a new table,replace_attribute_with_nonsense_attribute,table,singing
unc_adv_00056,a melting cup,attribute_object,uncertain,adversarial_nonsense,base_0311,a new cup,replace_attribute_with_nonsense_attribute,cup,melting
unc_adv_00057,a liquid bottle,attribute_object,uncertain,adversarial_nonsense,base_0312,a new bottle,replace_attribute_with_nonsense_attribute,bottle,liquid
unc_adv_00058,a singing bicycle,attribute_object,uncertain,adversarial_nonsense,base_0313,a new bicycle,replace_attribute_with_nonsense_attribute,bicycle,singing
unc_adv_00059,a liquid car,attribute_object,uncertain,adversarial_nonsense,base_0314,a new car,replace_attribute_with_nonsense_attribute,car,liquid
unc_adv_00060,a melting rack,attribute_object,uncertain,adversarial_nonsense,base_0315,a new rack,replace_attribute_with_nonsense_attribute,rack,melting
unc_adv_00061,a sleeping apple,attribute_object,uncertain,adversarial_nonsense,base_0316,a new apple,replace_attribute_with_nonsense_attribute,apple,sleeping
unc_adv_00062,a transparent banana,attribute_object,uncertain,adversarial_nonsense,base_0317,a new banana,replace_attribute_with_nonsense_attribute,banana,transparent
unc_adv_00063,a melting book,attribute_object,uncertain,adversarial_nonsense,base_0318,a new book,replace_attribute_with_nonsense_attribute,book,melting
unc_adv_00064,a sleeping phone,attribute_object,uncertain,adversarial_nonsense,base_0319,a new phone,replace_attribute_with_nonsense_attribute,phone,sleeping
unc_adv_00065,a melting laptop,attribute_object,uncertain,adversarial_nonsense,base_0320,a new laptop,replace_attribute_with_nonsense_attribute,laptop,melting
unc_adv_00066,an edible camera,attribute_object,uncertain,adversarial_nonsense,base_0321,a new camera,replace_attribute_with_nonsense_attribute,camera,edible
unc_adv_00067,a transparent backpack,attribute_object,uncertain,adversarial_nonsense,base_0322,a new backpack,replace_attribute_with_nonsense_attribute,backpack,transparent
unc_adv_00068,a liquid television,attribute_object,uncertain,adversarial_nonsense,base_0323,a new television,replace_attribute_with_nonsense_attribute,television,liquid
unc_adv_00069,a liquid dog,attribute_object,uncertain,adversarial_nonsense,base_0324,a wooden dog,replace_attribute_with_nonsense_attribute,dog,liquid
unc_adv_00070,a transparent cat,attribute_object,uncertain,adversarial_nonsense,base_0325,a wooden cat,replace_attribute_with_nonsense_attribute,cat,transparent
unc_adv_00071,an edible chair,attribute_object,uncertain,adversarial_nonsense,base_0326,a wooden chair,replace_attribute_with_nonsense_attribute,chair,edible
unc_adv_00072,a sleeping table,attribute_object,uncertain,adversarial_nonsense,base_0327,a wooden table,replace_attribute_with_nonsense_attribute,table,sleeping
unc_adv_00073,a liquid cup,attribute_object,uncertain,adversarial_nonsense,base_0328,a wooden cup,replace_attribute_with_nonsense_attribute,cup,liquid
unc_adv_00074,an edible bottle,attribute_object,uncertain,adversarial_nonsense,base_0329,a wooden bottle,replace_attribute_with_nonsense_attribute,bottle,edible
unc_adv_00075,a liquid bicycle,attribute_object,uncertain,adversarial_nonsense,base_0330,a wooden bicycle,replace_attribute_with_nonsense_attribute,bicycle,liquid
unc_adv_00076,a singing car,attribute_object,uncertain,adversarial_nonsense,base_0331,a wooden car,replace_attribute_with_nonsense_attribute,car,singing
unc_adv_00077,a sleeping rack,attribute_object,uncertain,adversarial_nonsense,base_0332,a wooden rack,replace_attribute_with_nonsense_attribute,rack,sleeping
unc_adv_00078,a singing apple,attribute_object,uncertain,adversarial_nonsense,base_0333,a wooden apple,replace_attribute_with_nonsense_attribute,apple,singing
unc_adv_00079,a transparent banana,attribute_object,uncertain,adversarial_nonsense,base_0334,a wooden banana,replace_attribute_with_nonsense_attribute,banana,transparent
unc_adv_00080,a sleeping book,attribute_object,uncertain,adversarial_nonsense,base_0335,a wooden book,replace_attribute_with_nonsense_attribute,book,sleeping
unc_adv_00081,an edible phone,attribute_object,uncertain,adversarial_nonsense,base_0336,a wooden phone,replace_attribute_with_nonsense_attribute,phone,edible
unc_adv_00082,a sleeping laptop,attribute_object,uncertain,adversarial_nonsense,base_0337,a wooden laptop,replace_attribute_with_nonsense_attribute,laptop,sleeping
unc_adv_00083,a sleeping camera,attribute_object,uncertain,adversarial_nonsense,base_0338,a wooden camera,replace_attribute_with_nonsense_attribute,camera,sleeping
unc_adv_00084,an edible backpack,attribute_object,uncertain,adversarial_nonsense,base_0339,a wooden backpack,replace_attribute_with_nonsense_attribute,backpack,edible
unc_adv_00085,a transparent television,attribute_object,uncertain,adversarial_nonsense,base_0340,a wooden television,replace_attribute_with_nonsense_attribute,television,transparent
unc_adv_00086,a sleeping dog,attribute_object,uncertain,adversarial_nonsense,base_0341,a plastic dog,replace_attribute_with_nonsense_attribute,dog,sleeping
unc_adv_00087,a transparent cat,attribute_object,uncertain,adversarial_nonsense,base_0342,a plastic cat,replace_attribute_with_nonsense_attribute,cat,transparent
unc_adv_00088,a transparent chair,attribute_object,uncertain,adversarial_nonsense,base_0343,a plastic chair,replace_attribute_with_nonsense_attribute,chair,transparent
unc_adv_00089,a transparent table,attribute_object,uncertain,adversarial_nonsense,base_0344,a plastic table,replace_attribute_with_nonsense_attribute,table,transparent
unc_adv_00090,a liquid cup,attribute_object,uncertain,adversarial_nonsense,base_0345,a plastic cup,replace_attribute_with_nonsense_attribute,cup,liquid
unc_adv_00091,a melting bottle,attribute_object,uncertain,adversarial_nonsense,base_0346,a plastic bottle,replace_attribute_with_nonsense_attribute,bottle,melting
unc_adv_00092,a transparent bicycle,attribute_object,uncertain,adversarial_nonsense,base_0347,a plastic bicycle,replace_attribute_with_nonsense_attribute,bicycle,transparent
unc_adv_00093,an edible car,attribute_object,uncertain,adversarial_nonsense,base_0348,a plastic car,replace_attribute_with_nonsense_attribute,car,edible
unc_adv_00094,a melting rack,attribute_object,uncertain,adversarial_nonsense,base_0349,a plastic rack,replace_attribute_with_nonsense_attribute,rack,melting
unc_adv_00095,a transparent apple,attribute_object,uncertain,adversarial_nonsense,base_0350,a plastic apple,replace_attribute_with_nonsense_attribute,apple,transparent
unc_adv_00096,an edible banana,attribute_object,uncertain,adversarial_nonsense,base_0351,a plastic banana,replace_attribute_with_nonsense_attribute,banana,edible
unc_adv_00097,an edible book,attribute_object,uncertain,adversarial_nonsense,base_0352,a plastic book,replace_attribute_with_nonsense_attribute,book,edible
unc_adv_00098,a singing phone,attribute_object,uncertain,adversarial_nonsense,base_0353,a plastic phone,replace_attribute_with_nonsense_attribute,phone,singing
unc_adv_00099,a singing laptop,attribute_object,uncertain,adversarial_nonsense,base_0354,a plastic laptop,replace_attribute_with_nonsense_attribute,laptop,singing
unc_adv_00100,a sleeping camera,attribute_object,uncertain,adversarial_nonsense,base_0355,a plastic camera,replace_attribute_with_nonsense_attribute,camera,sleeping
unc_adv_00101,a transparent backpack,attribute_object,uncertain,adversarial_nonsense,base_0356,a plastic backpack,replace_attribute_with_nonsense_attribute,backpack,transparent
unc_adv_00102,a transparent television,attribute_object,uncertain,adversarial_nonsense,base_0357,a plastic television,replace_attribute_with_nonsense_attribute,television,transparent
unc_adv_00103,a melting dog,attribute_object,uncertain,adversarial_nonsense,base_0358,a glass dog,replace_attribute_with_nonsense_attribute,dog,melting
unc_adv_00104,an edible cat,attribute_object,uncertain,adversarial_nonsense,base_0359,a glass cat,replace_attribute_with_nonsense_attribute,cat,edible
unc_adv_00105,a transparent chair,attribute_object,uncertain,adversarial_nonsense,base_0360,a glass chair,replace_attribute_with_nonsense_attribute,chair,transparent
unc_adv_00106,a sleeping table,attribute_object,uncertain,adversarial_nonsense,base_0361,a glass table,replace_attribute_with_nonsense_attribute,table,sleeping
unc_adv_00107,a liquid cup,attribute_object,uncertain,adversarial_nonsense,base_0362,a glass cup,replace_attribute_with_nonsense_attribute,cup,liquid
unc_adv_00108,an edible bottle,attribute_object,uncertain,adversarial_nonsense,base_0363,a glass bottle,replace_attribute_with_nonsense_attribute,bottle,edible
unc_adv_00109,a liquid bicycle,attribute_object,uncertain,adversarial_nonsense,base_0364,a glass bicycle,replace_attribute_with_nonsense_attribute,bicycle,liquid
unc_adv_00110,a sleeping car,attribute_object,uncertain,adversarial_nonsense,base_0365,a glass car,replace_attribute_with_nonsense_attribute,car,sleeping
unc_adv_00111,a singing rack,attribute_object,uncertain,adversarial_nonsense,base_0366,a glass rack,replace_attribute_with_nonsense_attribute,rack,singing
unc_adv_00112,a sleeping apple,attribute_object,uncertain,adversarial_nonsense,base_0367,a glass apple,replace_attribute_with_nonsense_attribute,apple,sleeping
unc_adv_00113,a liquid banana,attribute_object,uncertain,adversarial_nonsense,base_0368,a glass banana,replace_attribute_with_nonsense_attribute,banana,liquid
unc_adv_00114,an edible book,attribute_object,uncertain,adversarial_nonsense,base_0369,a glass book,replace_attribute_with_nonsense_attribute,book,edible
unc_adv_00115,a melting phone,attribute_object,uncertain,adversarial_nonsense,base_0370,a glass phone,replace_attribute_with_nonsense_attribute,phone,melting
unc_adv_00116,a transparent laptop,attribute_object,uncertain,adversarial_nonsense,base_0371,a glass laptop,replace_attribute_with_nonsense_attribute,laptop,transparent
unc_adv_00117,a sleeping camera,attribute_object,uncertain,adversarial_nonsense,base_0372,a glass camera,replace_attribute_with_nonsense_attribute,camera,sleeping
unc_adv_00118,an edible backpack,attribute_object,uncertain,adversarial_nonsense,base_0373,a glass backpack,replace_attribute_with_nonsense_attribute,backpack,edible
unc_adv_00119,a transparent television,attribute_object,uncertain,adversarial_nonsense,base_0374,a glass television,replace_attribute_with_nonsense_attribute,television,transparent
unc_adv_00120,a singing dog,attribute_object,uncertain,adversarial_nonsense,base_0375,a stone dog,replace_attribute_with_nonsense_attribute,dog,singing
unc_adv_00121,a singing cat,attribute_object,uncertain,adversarial_nonsense,base_0376,a stone cat,replace_attribute_with_nonsense_attribute,cat,singing
unc_adv_00122,a transparent chair,attribute_object,uncertain,adversarial_nonsense,base_0377,a stone chair,replace_attribute_with_nonsense_attribute,chair,transparent
unc_adv_00123,a singing table,attribute_object,uncertain,adversarial_nonsense,base_0378,a stone table,replace_attribute_with_nonsense_attribute,table,singing
unc_adv_00124,an edible cup,attribute_object,uncertain,adversarial_nonsense,base_0379,a stone cup,replace_attribute_with_nonsense_attribute,cup,edible
unc_adv_00125,a sleeping bottle,attribute_object,uncertain,adversarial_nonsense,base_0380,a stone bottle,replace_attribute_with_nonsense_attribute,bottle,sleeping
unc_adv_00126,an edible bicycle,attribute_object,uncertain,adversarial_nonsense,base_0381,a stone bicycle,replace_attribute_with_nonsense_attribute,bicycle,edible
unc_adv_00127,an edible car,attribute_object,uncertain,adversarial_nonsense,base_0382,a stone car,replace_attribute_with_nonsense_attribute,car,edible
unc_adv_00128,a transparent rack,attribute_object,uncertain,adversarial_nonsense,base_0383,a stone rack,replace_attribute_with_nonsense_attribute,rack,transparent
unc_adv_00129,a melting apple,attribute_object,uncertain,adversarial_nonsense,base_0384,a stone apple,replace_attribute_with_nonsense_attribute,apple,melting
unc_adv_00130,a melting banana,attribute_object,uncertain,adversarial_nonsense,base_0385,a stone banana,replace_attribute_with_nonsense_attribute,banana,melting
unc_adv_00131,a sleeping book,attribute_object,uncertain,adversarial_nonsense,base_0386,a stone book,replace_attribute_with_nonsense_attribute,book,sleeping
unc_adv_00132,a transparent phone,attribute_object,uncertain,adversarial_nonsense,base_0387,a stone phone,replace_attribute_with_nonsense_attribute,phone,transparent
unc_adv_00133,a melting laptop,attribute_object,uncertain,adversarial_nonsense,base_0388,a stone laptop,replace_attribute_with_nonsense_attribute,laptop,melting
unc_adv_00134,a singing camera,attribute_object,uncertain,adversarial_nonsense,base_0389,a stone camera,replace_attribute_with_nonsense_attribute,camera,singing
unc_adv_00135,a melting backpack,attribute_object,uncertain,adversarial_nonsense,base_0390,a stone backpack,replace_attribute_with_nonsense_attribute,backpack,melting
unc_adv_00136,a singing television,attribute_object,uncertain,adversarial_nonsense,base_0391,a stone television,replace_attribute_with_nonsense_attribute,television,singing
unc_adv_00137,a sleeping dog,attribute_object,uncertain,adversarial_nonsense,base_0392,a metal dog,replace_attribute_with_nonsense_attribute,dog,sleeping
unc_adv_00138,an edible cat,attribute_object,uncertain,adversarial_nonsense,base_0393,a metal cat,replace_attribute_with_nonsense_attribute,cat,edible
unc_adv_00139,an edible chair,attribute_object,uncertain,adversarial_nonsense,base_0394,a metal chair,replace_attribute_with_nonsense_attribute,chair,edible
unc_adv_00140,a melting table,attribute_object,uncertain,adversarial_nonsense,base_0395,a metal table,replace_attribute_with_nonsense_attribute,table,melting
unc_adv_00141,a singing cup,attribute_object,uncertain,adversarial_nonsense,base_0396,a metal cup,replace_attribute_with_nonsense_attribute,cup,singing
unc_adv_00142,a liquid bottle,attribute_object,uncertain,adversarial_nonsense,base_0397,a metal bottle,replace_attribute_with_nonsense_attribute,bottle,liquid
unc_adv_00143,a liquid bicycle,attribute_object,uncertain,adversarial_nonsense,base_0398,a metal bicycle,replace_attribute_with_nonsense_attribute,bicycle,liquid
unc_adv_00144,a liquid car,attribute_object,uncertain,adversarial_nonsense,base_0399,a metal car,replace_attribute_with_nonsense_attribute,car,liquid
unc_adv_00145,an edible rack,attribute_object,uncertain,adversarial_nonsense,base_0400,a metal rack,replace_attribute_with_nonsense_attribute,rack,edible
unc_adv_00146,a transparent apple,attribute_object,uncertain,adversarial_nonsense,base_0401,a metal apple,replace_attribute_with_nonsense_attribute,apple,transparent
unc_adv_00147,an edible banana,attribute_object,uncertain,adversarial_nonsense,base_0402,a metal banana,replace_attribute_with_nonsense_attribute,banana,edible
unc_adv_00148,a transparent book,attribute_object,uncertain,adversarial_nonsense,base_0403,a metal book,replace_attribute_with_nonsense_attribute,book,transparent
unc_adv_00149,a singing phone,attribute_object,uncertain,adversarial_nonsense,base_0404,a metal phone,replace_attribute_with_nonsense_attribute,phone,singing
unc_adv_00150,a melting laptop,attribute_object,uncertain,adversarial_nonsense,base_0405,a metal laptop,replace_attribute_with_nonsense_attribute,laptop,melting
unc_adv_00151,a liquid camera,attribute_object,uncertain,adversarial_nonsense,base_0406,a metal camera,replace_attribute_with_nonsense_attribute,camera,liquid
unc_adv_00152,a singing backpack,attribute_object,uncertain,adversarial_nonsense,base_0407,a metal backpack,replace_attribute_with_nonsense_attribute,backpack,singing
unc_adv_00153,a singing television,attribute_object,uncertain,adversarial_nonsense,base_0408,a metal television,replace_attribute_with_nonsense_attribute,television,singing
unc_adv_00154,a melting dog,attribute_object,uncertain,adversarial_nonsense,base_0409,a shiny dog,replace_attribute_with_nonsense_attribute,dog,melting
unc_adv_00155,a singing cat,attribute_object,uncertain,adversarial_nonsense,base_0410,a shiny cat,replace_attribute_with_nonsense_attribute,cat,singing
unc_adv_00156,a melting chair,attribute_object,uncertain,adversarial_nonsense,base_0411,a shiny chair,replace_attribute_with_nonsense_attribute,chair,melting
unc_adv_00157,a sleeping table,attribute_object,uncertain,adversarial_nonsense,base_0412,a shiny table,replace_attribute_with_nonsense_attribute,table,sleeping
unc_adv_00158,a melting cup,attribute_object,uncertain,adversarial_nonsense,base_0413,a shiny cup,replace_attribute_with_nonsense_attribute,cup,melting
unc_adv_00159,a liquid bottle,attribute_object,uncertain,adversarial_nonsense,base_0414,a shiny bottle,replace_attribute_with_nonsense_attribute,bottle,liquid
unc_adv_00160,a transparent bicycle,attribute_object,uncertain,adversarial_nonsense,base_0415,a shiny bicycle,replace_attribute_with_nonsense_attribute,bicycle,transparent
unc_adv_00161,a transparent car,attribute_object,uncertain,adversarial_nonsense,base_0416,a shiny car,replace_attribute_with_nonsense_attribute,car,transparent
unc_adv_00162,a liquid rack,attribute_object,uncertain,adversarial_nonsense,base_0417,a shiny rack,replace_attribute_with_nonsense_attribute,rack,liquid
unc_adv_00163,a transparent apple,attribute_object,uncertain,adversarial_nonsense,base_0418,a shiny apple,replace_attribute_with_nonsense_attribute,apple,transparent
unc_adv_00164,a melting banana,attribute_object,uncertain,adversarial_nonsense,base_0419,a shiny banana,replace_attribute_with_nonsense_attribute,banana,melting
unc_adv_00165,a sleeping book,attribute_object,uncertain,adversarial_nonsense,base_0420,a shiny book,replace_attribute_with_nonsense_attribute,book,sleeping
unc_adv_00166,a transparent phone,attribute_object,uncertain,adversarial_nonsense,base_0421,a shiny phone,replace_attribute_with_nonsense_attribute,phone,transparent
unc_adv_00167,a sleeping laptop,attribute_object,uncertain,adversarial_nonsense,base_0422,a shiny laptop,replace_attribute_with_nonsense_attribute,laptop,sleeping
unc_adv_00168,a liquid camera,attribute_object,uncertain,adversarial_nonsense,base_0423,a shiny camera,replace_attribute_with_nonsense_attribute,camera,liquid
unc_adv_00169,a sleeping backpack,attribute_object,uncertain,adversarial_nonsense,base_0424,a shiny backpack,replace_attribute_with_nonsense_attribute,backpack,sleeping
unc_adv_00170,a singing television,attribute_object,uncertain,adversarial_nonsense,base_0425,a shiny television,replace_attribute_with_nonsense_attribute,television,singing
unc_adv_00171,an edible dog,attribute_object,uncertain,adversarial_nonsense,base_0426,a dirty dog,replace_attribute_with_nonsense_attribute,dog,edible
unc_adv_00172,a singing cat,attribute_object,uncertain,adversarial_nonsense,base_0427,a dirty cat,replace_attribute_with_nonsense_attribute,cat,singing
unc_adv_00173,a liquid chair,attribute_object,uncertain,adversarial_nonsense,base_0428,a dirty chair,replace_attribute_with_nonsense_attribute,chair,liquid
unc_adv_00174,a transparent table,attribute_object,uncertain,adversarial_nonsense,base_0429,a dirty table,replace_attribute_with_nonsense_attribute,table,transparent
unc_adv_00175,a transparent cup,attribute_object,uncertain,adversarial_nonsense,base_0430,a dirty cup,replace_attribute_with_nonsense_attribute,cup,transparent
unc_adv_00176,a sleeping bottle,attribute_object,uncertain,adversarial_nonsense,base_0431,a dirty bottle,replace_attribute_with_nonsense_attribute,bottle,sleeping
unc_adv_00177,a melting bicycle,attribute_object,uncertain,adversarial_nonsense,base_0432,a dirty bicycle,replace_attribute_with_nonsense_attribute,bicycle,melting
unc_adv_00178,an edible car,attribute_object,uncertain,adversarial_nonsense,base_0433,a dirty car,replace_attribute_with_nonsense_attribute,car,edible
unc_adv_00179,a melting rack,attribute_object,uncertain,adversarial_nonsense,base_0434,a dirty rack,replace_attribute_with_nonsense_attribute,rack,melting
unc_adv_00180,a liquid apple,attribute_object,uncertain,adversarial_nonsense,base_0435,a dirty apple,replace_attribute_with_nonsense_attribute,apple,liquid
unc_adv_00181,a transparent banana,attribute_object,uncertain,adversarial_nonsense,base_0436,a dirty banana,replace_attribute_with_nonsense_attribute,banana,transparent
unc_adv_00182,a sleeping book,attribute_object,uncertain,adversarial_nonsense,base_0437,a dirty book,replace_attribute_with_nonsense_attribute,book,sleeping
unc_adv_00183,a transparent phone,attribute_object,uncertain,adversarial_nonsense,base_0438,a dirty phone,replace_attribute_with_nonsense_attribute,phone,transparent
unc_adv_00184,a melting laptop,attribute_object,uncertain,adversarial_nonsense,base_0439,a dirty laptop,replace_attribute_with_nonsense_attribute,laptop,melting
unc_adv_00185,a melting camera,attribute_object,uncertain,adversarial_nonsense,base_0440,a dirty camera,replace_attribute_with_nonsense_attribute,camera,melting
unc_adv_00186,an edible backpack,attribute_object,uncertain,adversarial_nonsense,base_0441,a dirty backpack,replace_attribute_with_nonsense_attribute,backpack,edible
unc_adv_00187,an edible television,attribute_object,uncertain,adversarial_nonsense,base_0442,a dirty television,replace_attribute_with_nonsense_attribute,television,edible
unc_adv_00188,a sleeping dog,attribute_object,uncertain,adversarial_nonsense,base_0443,a clean dog,replace_attribute_with_nonsense_attribute,dog,sleeping
unc_adv_00189,an edible cat,attribute_object,uncertain,adversarial_nonsense,base_0444,a clean cat,replace_attribute_with_nonsense_attribute,cat,edible
unc_adv_00190,a melting chair,attribute_object,uncertain,adversarial_nonsense,base_0445,a clean chair,replace_attribute_with_nonsense_attribute,chair,melting
unc_adv_00191,a melting table,attribute_object,uncertain,adversarial_nonsense,base_0446,a clean table,replace_attribute_with_nonsense_attribute,table,melting
