prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,token_count
unc_gib_00020,ywou yfueks fnpodfi,color_object,uncertain,gibberish,base_0020,a red chair,random_gibberish_tokens,3
unc_gib_00021,xufra pvtfwl ruzyilii,color_object,uncertain,gibberish,base_0021,a red table,random_gibberish_tokens,3
unc_gib_00022,gqza rhnucydr rvrxmqa,color_object,uncertain,gibberish,base_0022,a red cup,random_gibberish_tokens,3
unc_gib_00023,jifr wupcs uqoq,color_object,uncertain,gibberish,base_0023,a red bottle,random_gibberish_tokens,3
unc_gib_00024,eupf qqihz jize,color_object,uncertain,gibberish,base_0024,a red bicycle,random_gibberish_tokens,3
unc_gib_00025,jgaz xoxyzss uvscmd,color_object,uncertain,gibberish,base_0025,a red car,random_gibberish_tokens,3
unc_gib_00026,qwaxnvcn hsuh mncifq,color_object,uncertain,gibberish,base_0026,a red rack,random_gibberish_tokens,3
unc_gib_00027,yigiod zevrbh tgmaw,color_object,uncertain,gibberish,base_0027,a red apple,random_gibberish_tokens,3
unc_gib_00028,nuqhueak sktexoo hultuuih,color_object,uncertain,gibberish,base_0028,a red banana,random_gibberish_tokens,3
unc_gib_00029,vrkiov dbfiet obagy,color_object,uncertain,gibberish,base_0029,a red book,random_gibberish_tokens,3
unc_gib_00030,mfryfobx iyxdp uvqa,color_object,uncertain,gibberish,base_0030,a red phone,random_gibberish_tokens,3
unc_gib_00031,iiizxip zsogsjji wcecip,color_object,uncertain,gibberish,base_0031,a red laptop,random_gibberish_tokens,3
unc_gib_00032,oohtvda hnnmrsc rczvee,color_object,uncertain,gibberish,base_0032,a red camera,random_gibberish_tokens,3
unc_gib_00033,sdzqasid pzfhqale tgosidme,color_object,uncertain,gibberish,base_0033,a red backpack,random_gibberish_tokens,3
unc_gib_00034,ujeax wdqora avwhe,color_object,uncertain,gibberish,base_0034,a red television,random_gibberish_tokens,3
unc_gib_00035,cuhkvaz zwzxyuxb zixz,color_object,uncertain,gibberish,base_0035,a blue dog,random_gibberish_tokens,3
unc_gib_00036,zzoq crjgni pfssfqo,color_object,uncertain,gibberish,base_0036,a blue cat,random_gibberish_tokens,3
unc_gib_00037,eueoo oqkpmzm floqwwqw,color_object,uncertain,gibberish,base_0037,a blue chair,random_gibberish_tokens,3
unc_gib_00038,uffnpe vcnuyeyq ivuxbfuz,color_object,uncertain,gibberish,base_0038,a blue table,random_gibberish_tokens,3
unc_gib_00039,luch yokfsgjy aunonoi,color_object,uncertain,gibberish,base_0039,a blue cup,random_gibberish_tokens,3
unc_gib_00040,zijikiet wixqoe dstwwg,color_object,uncertain,gibberish,base_0040,a blue bottle,random_gibberish_tokens,3
unc_gib_00041,xcvk nagw tjizd,color_object,uncertain,gibberish,base_0041,a blue bicycle,random_gibberish_tokens,3
unc_gib_00042,cehaoeia fizteo fshnuj,color_object,uncertain,gibberish,base_0042,a blue car,random_gibberish_tokens,3
unc_gib_00043,zodfg kqlixzk sqmz,color_object,uncertain,gibberish,base_0043,a blue rack,random_gibberish_tokens,3
unc_gib_00044,kgsuwu uavaa uwno,color_object,uncertain,gibberish,base_0044,a blue apple,random_gibberish_tokens,3
unc_gib_00045,xvcv cmoburd aorgoqqw,color_object,uncertain,gibberish,base_0045,a blue banana,random_gibberish_tokens,3
unc_gib_00046,pwgea wqegfr adccckcm,color_object,uncertain,gibberish,base_0046,a blue book,random_gibberish_tokens,3
unc_gib_00047,uyigu lxerc oirqwk,color_object,uncertain,gibberish,base_0047,a blue phone,random_gibberish_tokens,3
unc_gib_00048,earglz ijqy euuj,color_object,uncertain,gibberish,base_0048,a blue laptop,random_gibberish_tokens,3
unc_gib_00049,bjaouo mwmvo oiic,color_object,uncertain,gibberish,base_0049,a blue camera,random_gibberish_tokens,3
unc_gib_00050,ewuinxon oopwwa daozgvcy,color_object,uncertain,gibberish,base_0050,a blue backpack,random_gibberish_tokens,3
unc_gib_00051,bwblmre ujli qkedzaq,color_object,uncertain,gibberish,base_0051,a blue television,random_gibberish_tokens,3
unc_gib_00052,zhrnfaxc luhi uqik,color_object,uncertain,gibberish,base_0052,a green dog,random_gibberish_tokens,3
unc_gib_00053,owgaprdy nlopqxdi aqeid,color_object,uncertain,gibberish,base_0053,a green cat,random_gibberish_tokens,3
unc_gib_00054,olds rddnaque qlthrdko,color_object,uncertain,gibberish,base_0054,a green chair,random_gibberish_tokens,3
unc_gib_00055,smqynrun ehizxiqx wwsem,color_object,uncertain,gibberish,base_0055,a green table,random_gibberish_tokens,3
unc_gib_00056,ogkg ayqrpud iyzq,color_object,uncertain,gibberish,base_0056,a green cup,random_gibberish_tokens,3
unc_gib_00057,ofvuxp xgbmdgn utsmfnh,color_object,uncertain,gibberish,base_0057,a green bottle,random_gibberish_tokens,3
unc_gib_00058,wwsqh yoqjdwn ltzqx,color_object,uncertain,gibberish,base_0058,a green bicycle,random_gibberish_tokens,3
unc_gib_00059,smug mpvyqt zethspoq,color_object,uncertain,gibberish,base_0059,a green car,random_gibberish_tokens,3
unc_gib_00060,ttsdklms oflicorz cpafe,color_object,uncertain,gibberish,base_0060,a green rack,random_gibberish_tokens,3
unc_gib_00061,uyhja lhmluari enoxz,color_object,uncertain,gibberish,base_0061,a green apple,random_gibberish_tokens,3
unc_gib_00062,ddlptba puromxt azohbo,color_object,uncertain,gibberish,base_0062,a green banana,random_gibberish_tokens,3
unc_gib_00063,eilpp zkdad vbnot,color_object,uncertain,gibberish,base_0063,a green book,random_gibberish_tokens,3
unc_gib_00064,dape egxzpeu aeuiied,color_object,uncertain,gibberish,base_0064,a green phone,random_gibberish_tokens,3
unc_gib_00065,yiaiy qcefzvai xwtad,color_object,uncertain,gibberish,base_0065,a green laptop,random_gibberish_tokens,3
unc_gib_00066,cozo awldjeq zdredayh,color_object,uncertain,gibberish,base_0066,a green camera,random_gibberish_tokens,3
unc_gib_00067,gepl laard utpxhf,color_object,uncertain,gibberish,base_0067,a green backpack,random_gibberish_tokens,3
unc_gib_00068,fvbtgczn ndfcv aiiw,color_object,uncertain,gibberish,base_0068,a green television,random_gibberish_tokens,3
unc_gib_00069,jmexeue rwbao voceak,color_object,uncertain,gibberish,base_0069,a yellow dog,random_gibberish_tokens,3
unc_gib_00070,pdvqxglo ljxfsf jsfmunko,color_object,uncertain,gibberish,base_0070,a yellow cat,random_gibberish_tokens,3
unc_gib_00071,mhquefec qzala eoai,color_object,uncertain,gibberish,base_0071,a yellow chair,random_gibberish_tokens,3
unc_gib_00072,sxqq jigyzro qjvw,color_object,uncertain,gibberish,base_0072,a yellow table,random_gibberish_tokens,3
unc_gib_00073,itxq nbitxe kceq,color_object,uncertain,gibberish,base_0073,a yellow cup,random_gibberish_tokens,3
unc_gib_00074,expaiu johdy tyghi,color_object,uncertain,gibberish,base_0074,a yellow bottle,random_gibberish_tokens,3
unc_gib_00075,xeua ongooh yehmbuxy,color_object,uncertain,gibberish,base_0075,a yellow bicycle,random_gibberish_tokens,3
unc_gib_00076,uxtdnd ldfaro ifukdan,color_object,uncertain,gibberish,base_0076,a yellow car,random_gibberish_tokens,3
unc_gib_00077,aqddya erfjwum cwebmu,color_object,uncertain,gibberish,base_0077,a yellow rack,random_gibberish_tokens,3
unc_gib_00078,bzdfqlw qsskufp xcuwtkdc,color_object,uncertain,gibberish,base_0078,a yellow apple,random_gibberish_tokens,3
unc_gib_00079,vusherrz idwnu aurgxfu,color_object,uncertain,gibberish,base_0079,a yellow banana,random_gibberish_tokens,3
unc_gib_00080,uozy lyqncia itaesi,color_object,uncertain,gibberish,base_0080,a yellow book,random_gibberish_tokens,3
unc_gib_00081,ujruah vvaj spis,color_object,uncertain,gibberish,base_0081,a yellow phone,random_gibberish_tokens,3
unc_gib_00082,fkytplaq xeel bgyemiq,color_object,uncertain,gibberish,base_0082,a yellow laptop,random_gibberish_tokens,3
unc_gib_00083,jvobpy fniizgku goiocxi,color_object,uncertain,gibberish,base_0083,a yellow camera,random_gibberish_tokens,3
unc_gib_00084,zihuf lueikmn mfzyjq,color_object,uncertain,gibberish,base_0084,a yellow backpack,random_gibberish_tokens,3
unc_gib_00085,cejxohoh bjehdr tcpiubk,color_object,uncertain,gibberish,base_0085,a yellow television,random_gibberish_tokens,3
unc_gib_00086,pfxdi vngtjq gbhz,color_object,uncertain,gibberish,base_0086,a black dog,random_gibberish_tokens,3
unc_gib_00087,zwya fqlg zrvyo,color_object,uncertain,gibberish,base_0087,a black cat,random_gibberish_tokens,3
unc_gib_00088,yfoj ercjtb foda,color_object,uncertain,gibberish,base_0088,a black chair,random_gibberish_tokens,3
unc_gib_00089,emch iifc esia,color_object,uncertain,gibberish,base_0089,a black table,random_gibberish_tokens,3
unc_gib_00090,eqioec xxhpg aolbuue,color_object,uncertain,gibberish,base_0090,a black cup,random_gibberish_tokens,3
unc_gib_00091,ykzwuz tetna zksotfar,color_object,uncertain,gibberish,base_0091,a black bottle,random_gibberish_tokens,3
unc_gib_00092,buiu sieiy pakpipao,color_object,uncertain,gibberish,base_0092,a black bicycle,random_gibberish_tokens,3
unc_gib_00093,oyfoj rzusxe croehey,color_object,uncertain,gibberish,base_0093,a black car,random_gibberish_tokens,3
unc_gib_00094,uoenoevw ujmgez ixrwru,color_object,uncertain,gibberish,base_0094,a black rack,random_gibberish_tokens,3
unc_gib_00095,gchi iwswu mconals,color_object,uncertain,gibberish,base_0095,a black apple,random_gibberish_tokens,3
unc_gib_00096,iueeh harl lsenz,color_object,uncertain,gibberish,base_0096,a black banana,random_gibberish_tokens,3
unc_gib_00097,ixdihvwd jnjuwa szyc,color_object,uncertain,gibberish,base_0097,a black book,random_gibberish_tokens,3
unc_gib_00098,fwaivc edeuzz oerde,color_object,uncertain,gibberish,base_0098,a black phone,random_gibberish_tokens,3
unc_gib_00099,ndlx oznfz xdvmmobw,color_object,uncertain,gibberish,base_0099,a black laptop,random_gibberish_tokens,3
unc_gib_00100,quzzb ebqdpzek exuwdjoi,color_object,uncertain,gibberish,base_0100,a black camera,random_gibberish_tokens,3
unc_gib_00101,kyjsm xnekopno mfyleez,color_object,uncertain,gibberish,base_0101,a black backpack,random_gibberish_tokens,3
unc_gib_00102,aaux uwgku vqbyvh,color_object,uncertain,gibberish,base_0102,a black television,random_gibberish_tokens,3
unc_gib_00103,xgoat pjpsa vlixzx,color_object,uncertain,gibberish,base_0103,a white dog,random_gibberish_tokens,3
unc_gib_00104,qepi ugkzgpf nothr,color_object,uncertain,gibberish,base_0104,a white cat,random_gibberish_tokens,3
unc_gib_00105,ghvx luuai yorx,color_object,uncertain,gibberish,base_0105,a white chair,random_gibberish_tokens,3
unc_gib_00106,vnukg vugh uwfguop,color_object,uncertain,gibberish,base_0106,a white table,random_gibberish_tokens,3
unc_gib_00107,rtox lkaw bafqnfz,color_object,uncertain,gibberish,base_0107,a white cup,random_gibberish_tokens,3
unc_gib_00108,wpqowptm qaoevnuc zdool,color_object,uncertain,gibberish,base_0108,a white bottle,random_gibberish_tokens,3
unc_gib_00109,yqovy esvc kczhliqv,color_object,uncertain,gibberish,base_0109,a white bicycle,random_gibberish_tokens,3
unc_gib_00110,auwi ijqlvd fiusukox,color_object,uncertain,gibberish,base_0110,a white car,random_gibberish_tokens,3
unc_gib_00111,lzek pbidnh jijjkek,color_object,uncertain,gibberish,base_0111,a white rack,random_gibberish_tokens,3
unc_gib_00112,fdtwonxo ukerw qefs,color_object,uncertain,gibberish,base_0112,a white apple,random_gibberish_tokens,3
unc_gib_00113,bqnllt hjpqhxfe qgbtznix,color_object,uncertain,gibberish,base_0113,a white banana,random_gibberish_tokens,3
unc_gib_00114,hlzn wlryxw ivsos,color_object,uncertain,gibberish,base_0114,a white book,random_gibberish_tokens,3
unc_gib_00115,iydnn uliuob iaqdo,color_object,uncertain,gibberish,base_0115,a white phone,random_gibberish_tokens,3
unc_gib_00116,qdyzokog apiouuwy zozpkor,color_object,uncertain,gibberish,base_0116,a white laptop,random_gibberish_tokens,3
unc_gib_00117,bgttor bjwkzq rvuiw,color_object,uncertain,gibberish,base_0117,a white camera,random_gibberish_tokens,3
unc_gib_00118,dmslob wfgag ntoc,color_object,uncertain,gibberish,base_0118,a white backpack,random_gibberish_tokens,3
unc_gib_00119,gqtlak ocfjmec lmceenlq,color_object,uncertain,gibberish,base_0119,a white television,random_gibberish_tokens,3
unc_gib_00120,ctgdt nazw kwio,color_object,uncertain,gibberish,base_0120,a purple dog,random_gibberish_tokens,3
unc_gib_00121,qgcsw hniuuvm szhuud,color_object,uncertain,gibberish,base_0121,a purple cat,random_gibberish_tokens,3
unc_gib_00122,etennvce ejxqv ikdjdzwo,color_object,uncertain,gibberish,base_0122,a purple chair,random_gibberish_tokens,3
unc_gib_00123,aidauk jkhwfuso hvhy,color_object,uncertain,gibberish,base_0123,a purple table,random_gibberish_tokens,3
unc_gib_00124,inooixq isqcugik aiuxc,color_object,uncertain,gibberish,base_0124,a purple cup,random_gibberish_tokens,3
unc_gib_00125,gxlaxao xamxc rfeuov,color_object,uncertain,gibberish,base_0125,a purple bottle,random_gibberish_tokens,3
unc_gib_00126,xvgq ukqnxud gotxyud,color_object,uncertain,gibberish,base_0126,a purple bicycle,random_gibberish_tokens,3
unc_gib_00127,ixrppb psskpd eeif,color_object,uncertain,gibberish,base_0127,a purple car,random_gibberish_tokens,3
unc_gib_00128,bwwlye vhju zalpaz,color_object,uncertain,gibberish,base_0128,a purple rack,random_gibberish_tokens,3
unc_gib_00129,qfoujsb vthp kucqai,color_object,uncertain,gibberish,base_0129,a purple apple,random_gibberish_tokens,3
unc_gib_00130,qduue gmiggji oexiwagi,color_object,uncertain,gibberish,base_0130,a purple banana,random_gibberish_tokens,3
unc_gib_00131,izijhyy ybtyzqgk boja,color_object,uncertain,gibberish,base_0131,a purple book,random_gibberish_tokens,3
unc_gib_00132,oosoc ooxvcsce cvasmirc,color_object,uncertain,gibberish,base_0132,a purple phone,random_gibberish_tokens,3
unc_gib_00133,oovxurbx azeas quhqhu,color_object,uncertain,gibberish,base_0133,a purple laptop,random_gibberish_tokens,3
unc_gib_00134,gcmoh eltu txsd,color_object,uncertain,gibberish,base_0134,a purple camera,random_gibberish_tokens,3
unc_gib_00135,kiwegpcy dreyyw ucmqo,color_object,uncertain,gibberish,base_0135,a purple backpack,random_gibberish_tokens,3
unc_gib_00136,tlrjfzdy nxiuvo umasfeo,color_object,uncertain,gibberish,base_0136,a purple television,random_gibberish_tokens,3
unc_gib_00137,pzzmdvb nxbe oatsuo,color_object,uncertain,gibberish,base_0137,an orange dog,random_gibberish_tokens,3
unc_gib_00138,ainbnig iuuhmi dkmm,color_object,uncertain,gibberish,base_0138,an orange cat,random_gibberish_tokens,3
unc_gib_00139,cabun unfugcv cyic,color_object,uncertain,gibberish,base_0139,an orange chair,random_gibberish_tokens,3
unc_gib_00140,mmjj nahbuj nmhyugcc,color_object,uncertain,gibberish,base_0140,an orange table,random_gibberish_tokens,3
unc_gib_00141,husm usdoms kypnibf,color_object,uncertain,gibberish,base_0141,an orange cup,random_gibberish_tokens,3
unc_gib_00142,hpgqaz uxyh nxrnkdu,color_object,uncertain,gibberish,base_0142,an orange bottle,random_gibberish_tokens,3
unc_gib_00143,ywsqfyo cgaemx nmoiuvg,color_object,uncertain,gibberish,base_0143,an orange bicycle,random_gibberish_tokens,3
unc_gib_00144,waimex qrhjpeg ztgzo,color_object,uncertain,gibberish,base_0144,an orange car,random_gibberish_tokens,3
unc_gib_00145,uvskytei ucptavi vazawin,color_object,uncertain,gibberish,base_0145,an orange rack,random_gibberish_tokens,3
unc_gib_00146,otnmcyuz xmutvly lfxohk,color_object,uncertain,gibberish,base_0146,an orange apple,random_gibberish_tokens,3
unc_gib_00147,viegoez plasm uqgrsna,color_object,uncertain,gibberish,base_0147,an orange banana,random_gibberish_tokens,3
unc_gib_00148,iozi fxkuuh bavsmc,color_object,uncertain,gibberish,base_0148,an orange book,random_gibberish_tokens,3
unc_gib_00149,ceaa ezhe dlidcn,color_object,uncertain,gibberish,base_0149,an orange phone,random_gibberish_tokens,3
unc_gib_00150,ldjh wefidla zclnutq,color_object,uncertain,gibberish,base_0150,an orange laptop,random_gibberish_tokens,3
unc_gib_00151,btwi qzwisi ceqiz,color_object,uncertain,gibberish,base_0151,an orange camera,random_gibberish_tokens,3
unc_gib_00152,ebuqwts ccju uxdgbyz,color_object,uncertain,gibberish,base_0152,an orange backpack,random_gibberish_tokens,3
unc_gib_00153,zmaha yejq xneudg,color_object,uncertain,gibberish,base_0153,an orange television,random_gibberish_tokens,3
unc_gib_00154,psxfuht huot zshct,color_object,uncertain,gibberish,base_0154,a pink dog,random_gibberish_tokens,3
unc_gib_00155,ibjvuwse fohcpr scebfk,color_object,uncertain,gibberish,base_0155,a pink cat,random_gibberish_tokens,3
unc_gib_00156,nnffroa ceyqsie xgsheu,color_object,uncertain,gibberish,base_0156,a pink chair,random_gibberish_tokens,3
unc_gib_00157,uuevj srerxuoa uvfkbre,color_object,uncertain,gibberish,base_0157,a pink table,random_gibberish_tokens,3
unc_gib_00158,zamsus opzznml janapasp,color_object,uncertain,gibberish,base_0158,a pink cup,random_gibberish_tokens,3
unc_gib_00159,wuenfx elrds fwwodsq,color_object,uncertain,gibberish,base_0159,a pink bottle,random_gibberish_tokens,3
unc_gib_00160,dlgjz wosa beurzn,color_object,uncertain,gibberish,base_0160,a pink bicycle,random_gibberish_tokens,3
unc_gib_00161,voxmlpa suuhe culjc,color_object,uncertain,gibberish,base_0161,a pink car,random_gibberish_tokens,3
unc_gib_00162,ewubto wimmux fawbkdy,color_object,uncertain,gibberish,base_0162,a pink rack,random_gibberish_tokens,3
unc_gib_00163,kidsd tycirpps soiroxgt,color_object,uncertain,gibberish,base_0163,a pink apple,random_gibberish_tokens,3
unc_gib_00164,auazoseq ciisbm mteldpx,color_object,uncertain,gibberish,base_0164,a pink banana,random_gibberish_tokens,3
unc_gib_00165,oaxlcse lzimdz uunip,color_object,uncertain,gibberish,base_0165,a pink book,random_gibberish_tokens,3
unc_gib_00166,pamt hgjuvua dgopsun,color_object,uncertain,gibberish,base_0166,a pink phone,random_gibberish_tokens,3
unc_gib_00167,aagmg ftac tlmfujpg,color_object,uncertain,gibberish,base_0167,a pink laptop,random_gibberish_tokens,3
unc_gib_00168,ivuxxu iwfuo hfpokn,color_object,uncertain,gibberish,base_0168,a pink camera,random_gibberish_tokens,3
unc_gib_00169,vpua qyorrd itqdqxe,color_object,uncertain,gibberish,base_0169,a pink backpack,random_gibberish_tokens,3
unc_gib_00170,jyor xziyoga tgco,color_object,uncertain,gibberish,base_0170,a pink television,random_gibberish_tokens,3
unc_gib_00171,onyd otlwcano hmegqft,color_object,uncertain,gibberish,base_0171,a brown dog,random_gibberish_tokens,3
unc_gib_00172,xwulqpib pxzfpckm dabcrrtn,color_object,uncertain,gibberish,base_0172,a brown cat,random_gibberish_tokens,3
unc_gib_00173,ntjvimr dulxk aunxopim,color_object,uncertain,gibberish,base_0173,a brown chair,random_gibberish_tokens,3
unc_gib_00174,nqvwbvu szyoapk iodrm,color_object,uncertain,gibberish,base_0174,a brown table,random_gibberish_tokens,3
unc_gib_00175,ykjmw cllihco dmoa,color_object,uncertain,gibberish,base_0175,a brown cup,random_gibberish_tokens,3
unc_gib_00176,exaxudf xeehll wfrkepay,color_object,uncertain,gibberish,base_0176,a brown bottle,random_gibberish_tokens,3
unc_gib_00177,akqp koqi khioio,color_object,uncertain,gibberish,base_0177,a brown bicycle,random_gibberish_tokens,3
unc_gib_00178,iaipwoc zqmdk eoigxirq,color_object,uncertain,gibberish,base_0178,a brown car,random_gibberish_tokens,3
unc_gib_00179,ubudehy gpxvsoj itrum,color_object,uncertain,gibberish,base_0179,a brown rack,random_gibberish_tokens,3
unc_gib_00180,ralsi stnoqufc ouuavm,color_object,uncertain,gibberish,base_0180,a brown apple,random_gibberish_tokens,3
unc_gib_00181,guhvnev fglollr tezac,color_object,uncertain,gibberish,base_0181,a brown banana,random_gibberish_tokens,3
unc_gib_00182,tstpu fedmhix bxdtn,color_object,uncertain,gibberish,base_0182,a brown book,random_gibberish_tokens,3
unc_gib_00183,fxae tlbc iucicuol,color_object,uncertain,gibberish,base_0183,a brown phone,random_gibberish_tokens,3
unc_gib_00184,qjqzm iufusoy ruzcszg,color_object,uncertain,gibberish,base_0184,a brown laptop,random_gibberish_tokens,3
unc_gib_00185,zmdogmu ccvfxid shamsolh,color_object,uncertain,gibberish,base_0185,a brown camera,random_gibberish_tokens,3
unc_gib_00186,yfbfz quiyqab bjegr,color_object,uncertain,gibberish,base_0186,a brown backpack,random_gibberish_tokens,3
unc_gib_00187,mebgoosj qbroui tyoc,color_object,uncertain,gibberish,base_0187,a brown television,random_gibberish_tokens,3
unc_gib_00188,xdztyirm sknom iemdghf,color_object,uncertain,gibberish,base_0188,a gray dog,random_gibberish_tokens,3
unc_gib_00189,ojblhvd ywliug foaufahj,color_object,uncertain,gibberish,base_0189,a gray cat,random_gibberish_tokens,3
unc_gib_00190,mufpgj atvlrkv eoouiob,color_object,uncertain,gibberish,base_0190,a gray chair,random_gibberish_tokens,3
unc_gib_00191,aqeqeauo uiaugow ozjangwd,color_object,uncertain,gibberish,base_0191,a gray table,random_gibberish_tokens,3
unc_gib_00192,vzbukiuc vcaxok zymxqkvp,color_object,uncertain,gibberish,base_0192,a gray cup,random_gibberish_tokens,3
unc_gib_00193,rarodvw izstoete ashiarpc,color_object,uncertain,gibberish,base_0193,a gray bottle,random_gibberish_tokens,3
unc_gib_00194,pptgxmet pcxs ougson,color_object,uncertain,gibberish,base_0194,a gray bicycle,random_gibberish_tokens,3
unc_gib_00195,ukis humfdy cutbwbjx,color_object,uncertain,gibberish,base_0195,a gray car,random_gibberish_tokens,3
unc_gib_00196,wqtahvl fmle encfri,color_object,uncertain,gibberish,base_0196,a gray rack,random_gibberish_tokens,3
unc_gib_00197,akuvois tzbxkerz ghuubuht,color_object,uncertain,gibberish,base_0197,a gray apple,random_gibberish_tokens,3
unc_gib_00198,qevhud gienisn ygbbet,color_object,uncertain,gibberish,base_0198,a gray banana,random_gibberish_tokens,3
unc_gib_00199,zwspoib jkip yktay,color_object,uncertain,gibberish,base_0199,a gray book,random_gibberish_tokens,3
unc_gib_00200,zltjx ddxuibuw rznrvpc,color_object,uncertain,gibberish,base_0200,a gray phone,random_gibberish_tokens,3
unc_gib_00201,rnjxe enzbbzi kauau,color_object,uncertain,gibberish,base_0201,a gray laptop,random_gibberish_tokens,3
unc_gib_00202,odadaoy cmoryuq unbnfyu,color_object,uncertain,gibberish,base_0202,a gray camera,random_gibberish_tokens,3
unc_gib_00203,eltog mviw mmbgv,color_object,uncertain,gibberish,base_0203,a gray backpack,random_gibberish_tokens,3
unc_gib_00204,ojjitsnu rfcbkj nohad,color_object,uncertain,gibberish,base_0204,a gray television,random_gibberish_tokens,3
unc_gib_00205,fsxibm liebl gfjk,color_object,uncertain,gibberish,base_0205,a magenta dog,random_gibberish_tokens,3
unc_gib_00206,euagep zcuwgc uoduvz,color_object,uncertain,gibberish,base_0206,a magenta cat,random_gibberish_tokens,3
unc_gib_00207,vnutxxjj orupddv cysrtq,color_object,uncertain,gibberish,base_0207,a magenta chair,random_gibberish_tokens,3
unc_gib_00208,kddv dedwjlly uaiou,color_object,uncertain,gibberish,base_0208,a magenta table,random_gibberish_tokens,3
unc_gib_00209,veej xoodjrs ggbprqux,color_object,uncertain,gibberish,base_0209,a magenta cup,random_gibberish_tokens,3
unc_gib_00210,ceiy qeajnsmf yhqkvcbr,color_object,uncertain,gibberish,base_0210,a magenta bottle,random_gibberish_tokens,3
unc_gib_00211,frdjjtx voboqk xocismhh,color_object,uncertain,gibberish,base_0211,a magenta bicycle,random_gibberish_tokens,3
unc_gib_00212,ohfchzdj wpfnhvb sqol,color_object,uncertain,gibberish,base_0212,a magenta car,random_gibberish_tokens,3
unc_gib_00213,esdk leumqbg jucufmy,color_object,uncertain,gibberish,base_0213,a magenta rack,random_gibberish_tokens,3
unc_gib_00214,qekb bjdfeaf zjoafh,color_object,uncertain,gibberish,base_0214,a magenta apple,random_gibberish_tokens,3
unc_gib_00215,njdl doyfufzg nobxvk,color_object,uncertain,gibberish,base_0215,a magenta banana,random_gibberish_tokens,3
unc_gib_00216,byarugmq kuoin rmei,color_object,uncertain,gibberish,base_0216,a magenta book,random_gibberish_tokens,3
unc_gib_00217,wkeqhb aage weds,color_object,uncertain,gibberish,base_0217,a magenta phone,random_gibberish_tokens,3
unc_gib_00218,jhmset ihrr oqdig,color_object,uncertain,gibberish,base_0218,a magenta laptop,random_gibberish_tokens,3
unc_gib_00219,imqtgejv rimxca eritpzr,color_object,uncertain,gibberish,base_0219,a magenta camera,random_gibberish_tokens,3
